reading_id,device_id,sensor_type,value,timestamp
1,514,humidity,68.67,1704385320
2,510,temperature,21.98,1704368611
3,389,temperature,24.42,1704984082
4,53,humidity,72.02,1705271567
5,228,motion,0,1704799172
6,820,humidity,73.22,1705816187
7,556,humidity,49.91,1706275297
8,915,humidity,77.49,1705814073
9,42,humidity,28.69,1706340286
10,938,motion,1,1704393097
11,472,temperature,18.64,1706338027
12,904,temperature,29.85,1704295563
13,524,motion,0,1705410721
14,622,temperature,16.38,1705657111
15,656,motion,1,1704860104
16,862,humidity,57.43,1706321470
17,646,temperature,25.12,1705692218
18,196,temperature,23.95,1704724945
19,244,motion,0,1706301584
20,117,humidity,57.72,1706627277
21,113,motion,0,1705513366
22,302,motion,1,1706054307
23,401,temperature,25.41,1704378138
24,351,motion,0,1704745007
25,313,temperature,29.21,1705487860
26,979,temperature,22.84,1705314826
27,881,motion,0,1706329407
28,320,temperature,24.99,1705323548
29,224,motion,0,1704766807
30,129,temperature,19.94,1706183684
31,769,temperature,21.41,1705611774
32,169,temperature,26.01,1705292227
33,582,temperature,25.12,1704334968
34,404,temperature,23.99,1705799884
35,120,motion,0,1704377319
36,897,temperature,24.87,1704397994
37,141,temperature,19.24,1706237415
38,336,temperature,20.21,1704569913
39,779,temperature,26.26,1705676556
40,536,humidity,68.81,1704661230
41,82,temperature,27.27,1706524492
42,928,motion,0,1704627372
43,944,temperature,19.28,1706282365
44,129,temperature,22.31,1706239450
45,200,humidity,38.22,1704780586
46,118,temperature,22.02,1704521277
47,92,humidity,27.09,1706417697
48,822,humidity,37.61,1704788458
49,292,motion,0,1705357172
50,959,temperature,23.98,1706579162
51,349,motion,0,1704372359
52,679,humidity,48.17,1705200067
53,203,temperature,21.42,1706278992
54,266,motion,0,1706272404
55,483,motion,0,1704485310
56,895,motion,1,1704795263
57,239,motion,1,1705536597
58,418,humidity,25.74,1704833060
59,323,humidity,43.74,1704753772
60,552,humidity,40.23,1706483427
61,331,humidity,43.81,1704282555
62,327,motion,0,1704692665
63,58,humidity,21.23,1704264016
64,241,motion,1,1706278444
65,795,humidity,38.02,1704440618
66,145,motion,1,1704172289
67,978,motion,1,1706398518
68,413,humidity,65.85,1705726089
69,24,temperature,23.63,1706331174
70,357,motion,1,1706437063
71,293,temperature,25.18,1706196388
72,673,temperature,27.81,1704799809
73,48,temperature,29.72,1704078498
74,117,temperature,16.68,1706467162
75,994,temperature,24.29,1704348427
76,326,humidity,77.38,1704277734
77,911,humidity,22.32,1705752961
78,319,temperature,22.41,1705156648
79,263,humidity,51.08,1704170407
80,918,motion,1,1706514174
81,761,temperature,17.63,1704647822
82,244,humidity,58.22,1704825471
83,334,humidity,40.09,1704352860
84,992,temperature,28.97,1704628451
85,710,motion,0,1704498533
86,421,temperature,26.93,1706544242
87,386,temperature,23.16,1704623284
88,470,humidity,38.45,1706213638
89,690,temperature,17.46,1705523305
90,481,motion,1,1704724043
91,196,humidity,38.49,1706352143
92,847,motion,0,1705418379
93,952,temperature,23.71,1706457547
94,565,humidity,59.02,1704739377
95,426,temperature,22.88,1705909522
96,818,motion,0,1705073944
97,422,motion,1,1704196090
98,906,humidity,47.47,1706535173
99,689,motion,1,1705224767
100,93,motion,1,1704369425
101,699,humidity,52.42,1705239411
102,164,motion,0,1704757749
103,839,temperature,20.12,1704442519
104,537,temperature,25.98,1704131431
105,168,humidity,77.23,1704709284
106,521,temperature,23.09,1706598836
107,8,humidity,44.05,1706545927
108,996,motion,1,1705919872
109,910,motion,1,1705842507
110,386,motion,0,1704760856
111,192,temperature,21.44,1704140311
112,928,motion,1,1705440635
