device_id,home_id,type,location
1,26,humidity,garage
2,16,motion,garage
3,40,temperature,bedroom
4,16,humidity,living_room
5,12,humidity,living_room
6,31,motion,kitchen
7,36,motion,kitchen
8,32,temperature,living_room
9,36,humidity,kitchen
10,12,motion,basement
11,15,motion,basement
12,12,humidity,garage
13,39,temperature,living_room
14,24,humidity,bedroom
15,18,temperature,garage
16,3,motion,kitchen
17,32,humidity,kitchen
18,20,temperature,garage
19,16,motion,garage
20,33,humidity,garage
21,17,temperature,basement
22,20,motion,garage
23,22,humidity,garage
24,29,motion,kitchen
25,14,temperature,kitchen
26,16,temperature,basement
27,27,motion,basement
28,9,temperature,basement
29,34,humidity,basement
30,28,motion,garage
31,35,temperature,garage
32,14,temperature,garage
33,25,motion,basement
34,16,humidity,bedroom
35,22,motion,bedroom
36,19,temperature,kitchen
37,34,temperature,bedroom
38,32,humidity,living_room
39,32,temperature,kitchen
40,6,motion,garage
41,35,motion,bedroom
42,5,motion,basement
43,5,motion,kitchen
44,4,humidity,garage
45,3,humidity,living_room
46,34,humidity,bedroom
47,11,temperature,garage
48,4,humidity,basement
49,40,humidity,living_room
50,11,motion,basement
51,25,motion,basement
52,39,temperature,living_room
53,27,humidity,living_room
54,14,motion,basement
55,18,motion,bedroom
56,35,humidity,kitchen
57,34,motion,bedroom
58,15,humidity,kitchen
59,23,humidity,living_room
60,32,humidity,garage
61,38,humidity,basement
62,14,motion,kitchen
63,34,humidity,living_room
64,12,humidity,kitchen
65,21,temperature,garage
66,18,motion,garage
67,40,motion,garage
68,1,humidity,bedroom
69,7,temperature,garage
70,19,motion,bedroom
71,22,humidity,living_room
72,18,motion,living_room
73,8,humidity,bedroom
74,13,humidity,living_room
75,15,motion,kitchen
76,30,motion,kitchen
77,5,motion,kitchen
78,22,temperature,living_room
79,39,motion,bedroom
80,11,temperature,garage
81,6,temperature,basement
82,12,humidity,basement
83,39,humidity,basement
84,35,motion,garage
85,18,motion,bedroom
86,15,humidity,bedroom
87,18,temperature,bedroom
88,29,temperature,basement
89,37,humidity,basement
90,5,motion,kitchen
91,25,temperature,basement
92,27,temperature,living_room
93,23,temperature,bedroom
94,10,motion,kitchen
95,22,humidity,bedroom
96,10,humidity,basement
97,6,temperature,living_room
98,24,motion,garage
99,29,motion,basement
100,15,temperature,kitchen
101,39,motion,bedroom
102,12,humidity,basement
103,35,motion,kitchen
104,1,motion,kitchen
105,5,motion,kitchen
106,32,motion,garage
107,8,temperature,garage
108,7,humidity,basement
109,20,motion,basement
110,36,temperature,garage
111,1,temperature,bedroom
112,36,motion,living_room
113,14,temperature,basement
114,5,motion,basement
115,25,temperature,bedroom
116,1,motion,garage
117,10,humidity,basement
118,5,humidity,kitchen
119,4,humidity,bedroom
120,16,temperature,living_room
121,4,motion,kitchen
122,27,temperature,garage
123,32,motion,basement
124,39,humidity,basement
125,20,temperature,living_room
126,6,humidity,bedroom
127,1,humidity,basement
128,39,humidity,living_room
129,28,temperature,living_room
130,14,motion,kitchen
131,22,motion,basement
132,12,temperature,kitchen
133,24,humidity,kitchen
134,10,motion,bedroom
135,13,motion,basement
136,28,humidity,kitchen
137,15,motion,living_room
138,23,motion,bedroom
139,28,temperature,garage
140,38,temperature,bedroom
141,37,motion,living_room
142,22,humidity,garage
143,15,motion,living_room
144,29,humidity,garage
145,22,temperature,garage
146,24,motion,bedroom
147,35,humidity,basement
148,14,motion,basement
149,23,motion,kitchen
150,26,temperature,bedroom
151,34,temperature,living_room
152,17,motion,kitchen
153,40,motion,bedroom
154,35,humidity,kitchen
155,36,temperature,garage
156,1,temperature,living_room
157,39,temperature,kitchen
158,20,temperature,garage
159,20,motion,garage
160,3,motion,garage
161,10,temperature,garage
162,37,temperature,living_room
163,12,motion,basement
164,2,humidity,living_room
165,1,humidity,kitchen
166,33,temperature,basement
167,10,temperature,living_room
168,38,motion,kitchen
169,21,humidity,garage
170,21,humidity,garage
171,19,humidity,bedroom
172,30,humidity,kitchen
173,38,humidity,kitchen
174,3,temperature,basement
175,26,humidity,kitchen
176,6,humidity,living_room
177,13,motion,living_room
178,5,temperature,basement
179,30,temperature,basement
180,13,temperature,bedroom
181,3,temperature,kitchen
182,19,humidity,basement
183,7,motion,living_room
184,30,humidity,kitchen
185,34,humidity,bedroom
186,31,temperature,kitchen
187,11,humidity,bedroom
188,17,motion,living_room
189,18,temperature,basement
190,39,temperature,living_room
191,38,motion,bedroom
192,13,humidity,kitchen
193,27,temperature,kitchen
194,7,temperature,bedroom
195,14,temperature,kitchen
196,9,temperature,kitchen
197,22,temperature,kitchen
198,15,motion,bedroom
199,3,temperature,garage
200,9,humidity,bedroom
