reading_id,device_id,sensor_type,value,timestamp
1,25,temperature,24.18,1704989883
2,181,humidity,32.4,1704481147
3,138,motion,0,1704132608
4,136,humidity,79.22,1705600293
5,148,humidity,45.41,1706086650
6,112,humidity,42.4,1704675580
7,188,temperature,18.75,1706326538
8,138,humidity,49.73,1704628595
9,164,motion,1,1705027126
10,149,temperature,15.92,1705592773
11,82,humidity,26.24,1705104245
12,38,humidity,61.96,1704436338
13,49,temperature,28.61,1706342450
14,79,motion,1,1706318975
15,121,motion,1,1705127876
16,185,motion,0,1706403269
17,101,temperature,29.29,1705924506
18,194,motion,1,1706113279
19,54,motion,1,1705078764
20,51,temperature,24.44,1704666752
21,110,temperature,18.51,1704547716
22,44,humidity,22.77,1705577807
23,103,temperature,22.52,1705272238
24,46,temperature,23.06,1704422538
25,98,motion,1,1704594874
26,63,humidity,61.18,1704809051
27,198,motion,1,1706018745
28,174,humidity,22.45,1704547783
29,112,temperature,24.3,1706449924
30,152,humidity,56.75,1704444570
31,183,temperature,23.51,1705646024
32,33,temperature,16.71,1705391187
33,17,temperature,20.49,1706153361
34,141,temperature,19.58,1705625750
35,131,humidity,77.42,1706335889
36,55,humidity,73.03,1704346294
37,131,motion,1,1705499678
38,140,motion,0,1704670014
39,27,temperature,26.63,1706585859
40,94,temperature,29.46,1705844555
41,141,motion,1,1704509200
42,158,motion,0,1704926604
43,51,motion,0,1706604584
44,34,humidity,64.85,1705042071
45,103,humidity,77.29,1704262551
46,125,temperature,21.43,1705689022
47,113,humidity,40.34,1704696549
48,144,temperature,18.8,1706064373
49,102,humidity,43.0,1706059641
50,20,motion,0,1704980203
51,19,motion,1,1705974088
52,128,temperature,22.21,1706481772
53,1,temperature,27.22,1705703745
54,86,temperature,18.3,1706154138
55,177,temperature,29.71,1705075350
56,135,humidity,30.52,1706654590
57,41,temperature,18.34,1705113406
58,93,motion,0,1706081736
59,64,temperature,17.69,1705908359
60,196,humidity,26.68,1706508131
61,125,humidity,75.12,1704692083
62,5,motion,1,1705729974
63,57,temperature,28.97,1704321771
64,172,temperature,25.44,1706347262
65,181,humidity,61.28,1704586631
66,157,motion,0,1705000447
67,148,motion,1,1705166730
68,97,temperature,16.79,1705741449
69,95,motion,1,1706637882
70,35,humidity,36.48,1705457779
71,85,humidity,42.37,1705140419
72,145,motion,1,1706437334
73,200,humidity,45.82,1704244494
74,73,motion,0,1705064629
75,23,motion,0,1706138629
76,169,motion,0,1706126645
77,79,motion,1,1704843607
78,135,temperature,15.34,1706297306
79,179,motion,0,1706450583
80,31,humidity,26.5,1704106193
81,19,temperature,19.51,1706070507
82,106,temperature,15.56,1705644867
83,94,motion,1,1704711252
84,6,motion,1,1705540705
85,4,motion,1,1706328016
86,105,humidity,67.53,1705172980
87,163,motion,0,1704473152
88,95,humidity,27.9,1706479100
89,133,temperature,23.46,1706615405
90,57,temperature,26.11,1704731938
91,154,motion,0,1705118934
92,197,motion,1,1704168080
93,69,temperature,17.4,1704970888
94,93,humidity,20.6,1704904733
95,147,temperature,21.47,1704835681
96,136,temperature,17.26,1704574287
97,138,humidity,63.39,1704989019
98,78,humidity,37.21,1706089479
99,81,humidity,58.39,1705443705
100,29,humidity,61.96,1706448614
101,121,motion,1,1705178476
102,123,humidity,65.19,1705629069
103,39,temperature,22.59,1706387555
104,94,temperature,26.16,1705713850
105,195,temperature,18.72,1704444868
106,32,motion,0,1705524169
107,112,temperature,23.77,1706550586
108,38,humidity,74.06,1704751286
109,182,temperature,23.68,1705943351
110,71,motion,1,1706627630
111,165,motion,0,1705263617
112,89,motion,1,1704264810
113,174,temperature,29.28,1704553614
114,152,humidity,31.61,1704899127
115,186,temperature,17.12,1706400245
116,112,motion,0,1706069114
