device_id,home_id,type,location
1,3,temperature,kitchen
2,9,motion,living_room
3,5,humidity,garage
4,8,temperature,living_room
5,4,humidity,kitchen
6,3,humidity,bedroom
7,9,humidity,kitchen
8,3,humidity,kitchen
9,5,motion,basement
10,7,temperature,kitchen
11,8,humidity,kitchen
12,1,temperature,basement
13,10,motion,basement
14,1,temperature,kitchen
15,1,humidity,basement
16,7,humidity,kitchen
17,4,motion,kitchen
18,7,temperature,basement
19,9,motion,bedroom
20,7,temperature,living_room
21,3,humidity,garage
22,9,humidity,bedroom
23,10,motion,garage
24,5,humidity,garage
25,3,temperature,kitchen
26,1,humidity,bedroom
27,7,humidity,garage
28,3,temperature,kitchen
29,10,humidity,kitchen
30,7,humidity,basement
31,6,humidity,kitchen
32,1,motion,bedroom
33,2,humidity,bedroom
34,9,motion,living_room
35,2,humidity,basement
36,9,humidity,bedroom
37,6,temperature,kitchen
38,7,temperature,living_room
39,2,humidity,kitchen
40,9,motion,bedroom
41,8,humidity,kitchen
42,2,humidity,living_room
43,4,motion,bedroom
44,1,motion,basement
45,10,motion,living_room
46,7,humidity,living_room
47,4,temperature,garage
48,7,motion,basement
49,1,motion,living_room
50,10,temperature,garage
