reading_id,device_id,sensor_type,value,timestamp
1,39,humidity,26.42,1704120347
2,10,motion,0,1704308985
3,19,motion,1,1705544831
4,27,motion,0,1705576580
5,34,humidity,36.55,1705813257
6,31,motion,0,1705934303
7,33,temperature,21.8,1704646910
8,11,temperature,19.95,1705971353
9,42,humidity,77.43,1704230806
10,18,temperature,24.3,1706095491
11,41,motion,0,1706251117
12,4,humidity,78.42,1704912867
13,22,humidity,55.37,1706016592
14,6,motion,1,1705655901
15,9,motion,1,1705567401
16,4,humidity,32.19,1705658624
17,35,temperature,21.66,1706400887
18,36,motion,0,1706406675
19,50,humidity,23.02,1706101945
20,35,humidity,35.16,1705255526
21,32,motion,1,1704831328
22,11,motion,1,1704989275
23,6,motion,1,1706500146
24,39,temperature,18.33,1705767127
25,2,motion,0,1704430039
26,6,humidity,71.22,1705968469
27,2,temperature,18.08,1705329887
28,37,humidity,30.97,1704382993
29,34,motion,0,1705450264
30,18,motion,1,1705176652
31,27,motion,1,1706231997
32,32,temperature,28.28,1704579561
33,27,motion,0,1705559536
34,1,temperature,27.98,1705829996
35,13,temperature,22.27,1705326345
36,21,motion,0,1705712184
37,30,motion,1,1704185049
38,1,motion,1,1704718554
39,46,humidity,32.21,1705508938
40,18,motion,0,1704685598
41,20,humidity,75.03,1705337674
42,38,temperature,19.93,1705263719
43,16,humidity,66.13,1705727522
44,50,temperature,25.72,1704147047
45,43,temperature,27.33,1706460457
46,29,motion,0,1705006061
47,40,temperature,19.79,1704638981
48,23,motion,0,1706231996
49,15,humidity,23.18,1705673408
50,14,temperature,20.21,1704229557
51,32,motion,1,1704610370
52,19,temperature,24.73,1705598736
53,47,motion,0,1706111655
54,29,humidity,27.34,1706512595
55,42,humidity,52.77,1704794343
56,40,temperature,18.38,1705159998
57,15,temperature,20.59,1706377586
58,25,humidity,22.51,1705680956
59,1,motion,1,1706484853
60,49,temperature,24.98,1704961954
61,40,temperature,16.11,1706187665
62,19,humidity,33.2,1706646839
63,28,humidity,22.24,1705578049
64,24,temperature,16.05,1704198476
65,11,temperature,15.31,1704568139
66,24,temperature,16.35,1706105596
67,12,humidity,69.38,1704402746
68,47,temperature,23.29,1706647652
69,10,temperature,21.34,1704083128
70,37,humidity,47.36,1704282612
71,16,temperature,27.45,1706601573
72,8,humidity,26.25,1705238816
73,35,temperature,24.61,1704075554
74,14,humidity,63.67,1704519202
75,32,humidity,62.59,1706458382
76,34,humidity,25.08,1706591555
77,29,motion,1,1704608260
78,38,humidity,37.54,1706034138
79,5,motion,0,1704165720
80,38,humidity,74.13,1705798133
81,21,motion,0,1704392268
82,16,temperature,16.24,1705598109
83,42,temperature,19.09,1704892425
84,35,humidity,37.97,1705662844
85,5,motion,0,1704338415
86,27,temperature,20.66,1704984147
87,1,humidity,70.76,1705677628
88,40,humidity,79.07,1706118897
89,16,humidity,34.18,1704426205
90,6,humidity,24.31,1704661953
91,2,humidity,51.56,1704996057
92,11,humidity,67.39,1705953110
93,33,motion,0,1704323490
94,22,motion,0,1705605965
95,40,temperature,17.91,1706004965
96,47,temperature,15.77,1704460251
97,1,motion,0,1706137895
98,24,humidity,44.14,1704462824
99,33,motion,0,1705826182
100,31,humidity,48.68,1706427825
101,15,temperature,26.83,1704689062
102,22,temperature,21.29,1704183320
103,29,temperature,25.17,1705669035
104,28,temperature,18.47,1706109000
105,42,temperature,23.69,1705574422
106,43,motion,1,1705600002
107,22,humidity,28.69,1704258776
108,33,temperature,25.34,1704656961
109,24,humidity,63.04,1706035531
110,37,temperature,18.59,1704495696
111,7,temperature,22.07,1704840250
112,11,humidity,56.18,1705419376
113,10,temperature,16.48,1705096621
114,24,motion,1,1706433106
115,2,motion,0,1704351519
116,43,motion,0,1706400338
117,5,temperature,29.96,1704605395
118,36,motion,0,1704755211
119,9,motion,1,1705049583
120,34,humidity,67.05,1706403330
121,26,motion,1,1704771385
122,16,humidity,55.42,1704510053
123,15,motion,0,1705783964
124,39,motion,0,1706428547
125,9,temperature,15.72,1704440099
126,27,temperature,17.04,1704508766
127,16,humidity,47.13,1704543723
128,43,motion,0,1704594966
129,26,temperature,28.01,1704878864
130,47,motion,1,1706265702
131,32,temperature,29.12,1704912034
132,20,temperature,17.66,1705965994
133,28,motion,1,1704583784
134,21,humidity,49.76,1704683719
135,48,temperature,26.7,1705529213
136,35,temperature,19.14,1705226237
137,41,motion,0,1704210785
138,8,humidity,45.29,1705188467
139,24,motion,1,1705541170
140,9,motion,1,1704344677
141,14,humidity,61.82,1704904039
142,12,motion,0,1705928281
143,2,humidity,21.81,1706019059
144,33,temperature,25.59,1705772210
145,12,humidity,51.5,1706436371
146,6,humidity,57.49,1706222758
147,17,temperature,21.76,1704160479
148,46,humidity,57.51,1706243071
149,40,motion,0,1706254353
150,15,humidity,39.55,1706462698
151,9,temperature,17.09,1704905790
152,4,humidity,72.64,1704420598
153,39,humidity,67.15,1705103818
154,1,motion,0,1705774861
155,41,motion,0,1706185054
156,28,temperature,24.25,1704289868
157,35,motion,1,1705469228
158,16,temperature,18.95,1704679990
159,24,motion,1,1704235836
160,4,temperature,17.9,1704486339
161,14,temperature,19.28,1705564704
162,29,temperature,18.14,1705720151
163,10,humidity,29.04,1706560692
164,47,motion,0,1705903936
165,15,motion,1,1705288086
166,8,motion,0,1704940501
167,4,temperature,26.47,1705359505
168,36,temperature,23.91,1706194474
169,13,temperature,27.68,1704720256
170,48,humidity,44.11,1704754824
171,7,temperature,29.38,1704395593
172,5,humidity,38.63,1704252588
173,11,temperature,15.94,1705349377
174,45,humidity,42.38,1705290761
175,20,humidity,68.49,1704350608
176,41,humidity,74.83,1706101604
177,29,humidity,67.72,1705056091
178,8,humidity,29.32,1704995819
179,42,temperature,16.24,1704434335
180,28,temperature,20.56,1705234390
181,40,humidity,79.45,1704202863
182,28,motion,1,1704753400
183,9,temperature,22.03,1705622171
184,7,humidity,34.55,1705850297
185,42,motion,0,1706062239
186,5,motion,1,1706606094
187,3,motion,0,1706246165
188,15,humidity,45.66,1704802650
189,32,motion,1,1704844754
190,6,temperature,17.56,1705446133
191,19,humidity,57.25,1705566825
192,7,motion,0,1705790808
193,9,humidity,27.26,1704404908
194,36,temperature,28.72,1705575495
195,7,temperature,23.75,1705212236
196,11,temperature,23.15,1704610968
197,37,humidity,33.46,1705085006
198,8,motion,1,1704176876
199,38,humidity,54.67,1704181107
200,27,motion,1,1706217242
201,29,temperature,22.6,1705556660
202,49,motion,0,1705487304
203,3,temperature,28.24,1705127797
204,46,motion,0,1705008740
205,22,humidity,38.14,1704094718
206,7,temperature,28.43,1705689605
207,42,humidity,27.0,1704917155
208,4,motion,1,1704411844
209,8,temperature,20.11,1705685377
210,31,motion,0,1704515936
211,36,temperature,24.0,1706523312
212,22,motion,1,1705989257
213,49,humidity,25.85,1704318537
214,8,motion,0,1705325679
215,34,motion,0,1705921821
216,27,temperature,26.8,1706326201
217,48,temperature,29.36,1704595198
218,3,motion,0,1704868697
219,38,temperature,23.99,1704457641
220,17,humidity,66.86,1704187376
221,16,temperature,19.5,1704088293
222,37,temperature,25.76,1706611866
223,30,temperature,24.61,1704644913
224,13,humidity,40.73,1704964827
225,7,temperature,20.19,1705889823
226,11,temperature,16.03,1704082256
227,40,motion,0,1704664728
228,40,temperature,22.41,1706044200
229,32,humidity,40.57,1706062719
230,27,humidity,74.95,1705311551
231,13,motion,0,1705322238
232,25,motion,1,1705513069
233,39,motion,0,1705012604
234,26,humidity,68.32,1706593600
235,46,humidity,24.78,1704801228
236,14,humidity,24.32,1705989025
237,19,temperature,24.03,1706236928
238,49,motion,0,1705520190
239,36,motion,1,1705525794
240,2,motion,1,1706194990
241,7,humidity,42.02,1704957558
242,47,motion,0,1704270123
243,44,humidity,23.63,1704842597
244,26,humidity,55.32,1705255214
245,32,humidity,49.45,1706537187
246,21,temperature,29.65,1705180273
247,4,motion,1,1704435960
248,40,humidity,71.61,1706471088
249,40,temperature,29.24,1705770388
250,7,temperature,15.36,1705737313
251,38,motion,1,1704981673
252,21,humidity,22.69,1704420960
253,22,temperature,15.28,1705639934
254,10,motion,0,1705080403
255,6,motion,1,1705612519
256,22,humidity,55.97,1705655710
257,16,temperature,28.71,1706502540
258,47,humidity,23.55,1706207447
259,7,temperature,29.61,1704498659
260,34,motion,1,1704950523
261,7,temperature,24.05,1704312566
262,41,humidity,74.0,1705323671
263,29,temperature,24.18,1705038547
264,3,temperature,23.65,1706304465
265,42,motion,0,1706028154
266,7,humidity,27.81,1705837864
267,32,humidity,52.33,1704729816
268,10,humidity,49.88,1704905131
269,49,motion,0,1704541608
270,39,humidity,45.44,1705650187
271,21,humidity,48.21,1705022739
272,24,humidity,47.22,1704766214
273,11,temperature,19.34,1704230662
274,10,temperature,25.74,1705814716
275,16,motion,0,1705500074
276,33,temperature,17.95,1704666835
277,9,motion,0,1705686264
278,28,motion,1,1705537249
279,45,humidity,67.87,1706307673
280,6,motion,1,1704234103
281,18,humidity,26.09,1704451396
282,27,humidity,43.96,1704111395
283,45,temperature,27.67,1705216162
284,24,temperature,17.19,1705087762
285,37,motion,0,1704893915
286,34,humidity,79.58,1705537100
287,27,temperature,17.07,1706049699
288,26,temperature,26.38,1705635103
289,50,humidity,71.86,1704309025
290,21,motion,0,1706340600
291,4,temperature,29.36,1706385342
292,16,humidity,73.46,1706562909
293,30,temperature,20.89,1705625166
294,25,motion,0,1706499893
295,37,humidity,51.53,1704465213
296,33,humidity,54.66,1704293078
297,27,temperature,20.48,1705474318
298,22,motion,1,1705125887
299,3,temperature,28.13,1704089383
300,26,motion,1,1705638710
301,43,humidity,31.95,1705777324
302,44,temperature,21.94,1705654449
303,18,motion,0,1704884418
304,14,motion,0,1706364440
305,23,humidity,39.01,1705735681
306,49,motion,0,1705562404
307,22,motion,0,1704900915
308,41,humidity,68.72,1706550364
309,19,motion,1,1705243583
310,1,motion,1,1704924690
311,25,humidity,60.83,1704240846
312,50,temperature,27.7,1705078407
313,44,humidity,66.77,1706419981
314,8,motion,0,1706539759
315,33,temperature,22.34,1706504717
316,39,humidity,27.57,1704111386
317,21,humidity,52.73,1704521099
318,41,humidity,78.04,1705235372
319,23,motion,1,1706522825
320,9,motion,1,1706274766
321,50,motion,0,1706532526
322,29,humidity,43.76,1705137912
323,3,motion,0,1705127764
324,38,temperature,15.52,1705378108
325,38,humidity,44.85,1705288444
326,44,humidity,47.97,1705550478
327,13,humidity,23.91,1705341372
328,6,motion,1,1704162349
329,14,temperature,19.61,1705685840
330,20,motion,1,1705473029
331,16,humidity,45.7,1704150040
332,29,motion,1,1705003098
333,41,humidity,76.81,1704133070
334,40,temperature,28.21,1704786107
335,32,motion,1,1706320541
336,39,motion,1,1704709922
337,31,temperature,22.99,1706074266
338,18,temperature,26.37,1705561096
339,16,humidity,63.02,1705752919
340,6,humidity,26.26,1706504532
341,35,temperature,22.08,1705881903
342,41,motion,1,1704563785
343,34,motion,1,1704078215
344,44,humidity,56.34,1706588145
345,26,motion,1,1705670027
346,27,temperature,19.92,1706242306
347,36,temperature,23.42,1705404767
348,31,humidity,44.9,1706656222
349,41,humidity,32.04,1706257543
350,49,temperature,21.12,1705477280
351,42,motion,1,1705878279
352,33,humidity,54.5,1705402427
353,30,motion,1,1704135305
354,42,motion,0,1705264672
355,5,temperature,20.21,1706641513
356,26,humidity,43.82,1705369743
357,47,motion,0,1704340715
358,41,motion,0,1705444049
359,9,humidity,35.08,1706166915
360,45,temperature,15.04,1705241261
361,34,humidity,74.44,1705492588
362,28,motion,0,1704180468
363,15,motion,1,1705670980
364,32,motion,0,1704354248
365,8,temperature,20.28,1706461735
366,37,motion,0,1706177361
367,20,temperature,19.64,1704854112
368,17,motion,0,1705918054
369,18,humidity,35.04,1704644919
370,27,temperature,22.47,1704512115
371,34,motion,1,1706558629
372,26,motion,1,1706349249
373,2,humidity,65.39,1704151885
374,4,motion,0,1706551280
375,45,motion,0,1704797067
376,36,temperature,25.41,1705330246
377,19,temperature,16.93,1706186917
378,25,motion,1,1705742730
379,28,humidity,73.58,1704298474
380,16,motion,0,1705245962
381,3,temperature,16.86,1705916427
382,40,humidity,32.31,1704497566
383,18,temperature,15.81,1706566603
384,45,temperature,17.36,1705197717
385,12,motion,1,1704315999
386,44,humidity,21.66,1704761901
387,48,humidity,46.96,1705474071
388,22,motion,1,1704390748
389,29,humidity,65.83,1705305391
390,41,humidity,22.74,1706219923
391,4,temperature,29.07,1705070044
392,24,motion,0,1704336763
393,12,humidity,50.69,1705962539
394,43,humidity,49.57,1704931359
395,24,temperature,27.94,1705387411
396,49,temperature,28.51,1704796149
397,14,motion,1,1704161837
398,10,temperature,19.58,1704987500
399,18,humidity,26.56,1705857660
400,4,motion,1,1704407296
401,15,temperature,24.29,1705891760
402,32,humidity,41.6,1706277420
403,50,motion,1,1706135714
404,39,temperature,28.57,1705890419
405,39,humidity,78.61,1706294562
406,29,humidity,55.27,1706600091
407,9,temperature,24.43,1704614438
408,11,motion,1,1705300201
409,34,temperature,27.52,1704514327
410,48,temperature,15.27,1704457492
411,7,motion,1,1705341858
412,5,motion,0,1706527861
413,5,motion,1,1704830946
414,6,humidity,51.59,1704751503
415,23,humidity,62.55,1706581099
416,6,motion,1,1706209326
417,12,humidity,67.71,1705543521
418,11,motion,0,1704399131
419,1,humidity,57.18,1704239289
420,22,temperature,19.51,1704681435
421,6,humidity,25.08,1704087869
422,33,temperature,28.64,1706046917
423,46,motion,0,1704281927
424,21,motion,1,1705264967
425,26,temperature,19.06,1704737027
426,7,temperature,28.6,1706504729
427,5,motion,1,1704249657
428,19,humidity,34.4,1704178671
429,24,motion,1,1705369920
430,32,humidity,48.76,1705163411
431,4,humidity,63.0,1704869001
432,45,humidity,68.82,1706497115
433,14,humidity,65.81,1705465277
434,18,humidity,59.35,1704155182
435,10,temperature,26.72,1704210366
436,28,motion,0,1706395280
437,30,humidity,39.95,1704981775
438,18,humidity,65.07,1704534651
439,48,temperature,21.44,1704827000
440,15,humidity,41.2,1706136858
441,1,temperature,18.17,1706014789
442,4,motion,0,1706310840
443,4,temperature,15.88,1705289293
444,40,humidity,59.58,1705336421
445,45,temperature,20.21,1705296754
446,5,temperature,28.51,1706571356
447,23,motion,0,1704673375
448,45,humidity,71.41,1705337482
449,25,motion,1,1704383848
450,32,humidity,77.42,1706575040
451,7,temperature,21.57,1706275340
452,47,motion,0,1705503203
453,11,humidity,62.18,1705493127
454,39,humidity,50.16,1704930396
455,46,motion,1,1705908571
456,27,motion,1,1705977398
457,27,humidity,77.59,1706374151
458,47,humidity,29.79,1706358645
459,35,temperature,22.0,1705520282
460,48,motion,1,1704805345
461,14,motion,1,1705602295
462,10,motion,0,1705083448
463,13,motion,1,1705229767
464,22,temperature,27.96,1704290076
465,12,humidity,38.71,1705706827
466,17,humidity,64.05,1705478552
467,46,temperature,24.24,1706414142
468,38,temperature,27.56,1705867164
469,30,humidity,29.52,1705729763
470,13,temperature,16.68,1704750585
471,19,motion,0,1706308045
472,25,temperature,21.63,1705031077
473,49,motion,1,1705331961
474,34,motion,0,1705001296
475,21,temperature,27.77,1704448673
476,16,humidity,39.85,1706572881
477,38,temperature,17.73,1706464038
478,12,humidity,37.7,1704924598
479,22,temperature,22.1,1704368500
480,49,temperature,25.74,1706190000
481,31,humidity,64.96,1705619499
482,46,motion,0,1704324613
483,27,humidity,36.6,1705912641
484,29,humidity,20.04,1705305001
485,30,motion,0,1705747413
486,8,motion,1,1705902126
487,18,motion,0,1705191642
488,24,temperature,16.49,1706164091
489,45,temperature,23.5,1706367567
490,7,temperature,29.7,1705785433
491,10,motion,1,1705329697
492,38,motion,1,1706379236
493,35,temperature,18.96,1704095445
494,13,temperature,29.92,1704697276
495,33,motion,1,1705854086
496,1,temperature,24.22,1704772395
497,11,temperature,27.22,1705998442
498,12,humidity,32.1,1705029239
499,12,humidity,22.56,1704606277
500,10,motion,0,1706459712
501,19,motion,0,1704527193
502,41,humidity,64.36,1705236215
503,28,humidity,20.29,1704119729
504,11,motion,0,1704551841
505,39,temperature,29.24,1704622922
506,38,temperature,28.34,1704223460
507,27,motion,1,1706260600
508,23,temperature,20.29,1705332008
509,28,temperature,29.72,1704514384
510,21,temperature,24.47,1705847636
511,1,motion,1,1704512509
512,5,motion,1,1706365570
513,21,motion,0,1705166627
514,9,motion,0,1704494826
515,14,motion,0,1704986595
516,5,motion,1,1705782210
517,31,motion,1,1705083116
518,37,temperature,20.02,1705382770
519,31,temperature,18.22,1706166559
520,47,temperature,25.89,1704336407
