order_item_id,order_id,product_id,quantity
1,1,3977,3
2,1,1082,5
3,2,3147,5
4,2,340,3
5,2,547,1
6,2,2094,4
7,3,1822,3
8,3,2091,2
9,3,711,4
10,4,1326,2
11,4,1416,4
12,4,654,2
13,5,1064,5
14,6,911,4
15,6,4448,3
16,6,3545,5
17,6,4618,2
18,7,4873,1
19,7,2821,4
20,7,2619,1
21,7,3352,4
22,7,2894,3
23,8,2921,4
24,8,577,1
25,8,2265,2
26,8,3784,3
27,9,95,2
28,10,504,5
29,10,2908,5
30,10,3730,4
31,10,1104,4
32,11,23,2
33,11,4897,3
34,11,1126,1
35,11,1710,5
36,12,860,3
37,12,529,1
38,12,2651,4
39,12,2669,4
40,13,3473,4
41,14,3011,3
42,14,3316,2
43,14,122,4
44,15,2026,1
45,15,1554,1
46,15,716,3
47,16,4128,5
48,16,860,4
49,17,2475,3
50,18,3612,4
51,19,2020,3
52,19,2822,5
53,19,4241,3
54,20,4923,3
55,20,57,2
56,20,2280,3
57,20,2954,5
58,20,34,2
59,21,3670,3
60,21,4781,5
61,22,2647,1
62,22,2290,3
63,22,3805,5
64,23,555,2
65,24,4400,5
66,24,461,3
67,25,2813,2
68,25,3024,5
69,25,3309,4
70,26,2664,3
71,26,1646,4
72,26,3907,2
73,26,4919,5
74,27,2821,2
75,27,2845,1
76,27,1486,5
77,27,4552,2
78,27,611,5
79,28,4369,2
80,28,2075,5
81,28,3129,5
82,28,4380,5
83,29,1452,4
84,29,3953,5
85,29,1698,5
86,29,667,3
87,29,3003,1
88,30,3938,4
89,30,1653,2
90,30,3219,3
91,30,3099,5
92,30,581,4
93,31,1315,3
94,31,2028,3
95,32,3607,2
96,32,1799,1
97,32,1883,2
98,32,472,1
99,32,1651,4
100,33,17,3
101,33,4142,2
102,33,1008,3
103,34,3371,1
104,34,3552,3
105,34,152,4
106,34,2427,2
107,35,1846,4
108,35,3105,5
109,36,207,3
110,36,4904,3
111,36,1304,3
112,37,2240,1
113,37,3983,2
114,37,2443,5
115,37,4333,3
116,38,683,5
117,39,745,4
118,39,2133,3
119,39,4181,4
120,39,4493,2
121,40,1157,3
122,40,4016,2
123,40,434,4
124,40,944,4
125,40,1997,1
126,41,344,2
127,41,2578,2
128,41,2119,1
129,42,721,2
130,42,3199,1
131,42,4830,1
132,43,2272,2
133,43,360,2
134,43,4905,5
135,43,170,3
136,43,2382,4
137,44,3943,1
138,44,2251,5
139,45,709,1
140,45,1958,3
141,45,2356,3
142,46,2640,3
143,46,511,1
144,46,3162,4
145,46,3307,5
146,46,2023,4
147,47,1112,3
148,47,3353,1
149,48,3967,2
150,48,1412,4
151,49,2754,5
152,49,2949,2
153,49,1606,5
154,49,787,2
155,50,957,2
156,50,3348,3
157,50,361,3
158,51,721,4
159,51,3712,1
160,51,4643,4
161,51,4283,4
162,52,4069,2
163,52,1338,1
164,52,4389,3
165,52,1213,4
166,52,4701,4
167,53,447,4
168,53,2340,2
169,53,3190,1
170,54,867,3
171,54,3999,3
172,54,1341,5
173,54,3379,3
174,54,699,4
175,55,4146,4
176,56,2921,1
177,57,4232,3
178,57,1853,4
179,58,1030,4
180,58,4156,3
181,58,363,1
182,59,834,1
183,59,2747,5
184,59,991,2
185,60,4149,4
186,60,2686,3
187,60,28,4
188,60,187,3
189,61,4070,3
190,61,2211,3
191,61,2127,1
192,61,598,4
193,62,4390,2
194,62,3896,5
195,62,777,4
196,63,4213,3
197,63,3478,1
198,63,2025,1
199,63,3205,2
200,64,1814,2
201,64,591,3
202,64,3572,2
203,65,2901,4
204,65,231,1
205,65,1414,5
206,66,4942,4
207,66,3293,1
208,67,3786,1
209,67,1895,3
210,67,4591,4
211,67,3039,1
212,67,2968,5
213,68,3174,4
214,68,4825,1
215,68,779,1
216,68,3808,3
217,68,2303,2
218,69,1242,2
219,69,4510,1
220,69,3120,1
221,69,4266,2
222,70,3965,3
223,71,2914,4
224,71,1054,3
225,71,4141,4
226,72,3768,1
227,73,4977,4
228,73,3440,4
229,73,214,2
230,74,90,5
231,75,1850,1
232,75,1149,4
233,76,3065,1
234,76,4995,4
235,76,2912,5
236,76,1244,3
237,77,2784,1
238,77,4681,5
239,77,4171,4
240,77,4786,4
241,78,2236,4
242,78,4544,2
243,78,2259,1
244,78,2585,4
245,78,2959,2
246,79,3574,3
247,79,3315,5
248,79,566,4
249,79,2196,3
250,79,4417,5
251,80,1436,2
252,80,2688,3
253,80,3142,1
254,80,2112,3
255,81,2339,4
256,82,2910,1
257,82,1153,5
258,82,1484,1
259,82,1689,5
260,83,2857,1
261,83,2208,5
262,84,759,3
263,84,611,1
264,84,781,3
265,85,1765,5
266,85,3053,5
267,85,2854,5
268,86,3813,5
269,86,3839,2
270,86,2066,4
271,86,4453,4
272,87,1024,2
273,87,4346,2
274,87,2153,2
275,87,3633,4
276,88,1520,2
277,89,3458,1
278,89,759,2
279,90,3578,1
280,91,4807,4
281,91,2173,5
282,91,2588,1
283,92,506,2
284,92,3977,4
285,92,135,4
286,92,2475,4
287,93,444,4
288,93,4549,2
289,94,2812,3
290,94,3970,4
291,94,1714,4
292,94,2993,5
293,94,3091,5
294,95,3446,2
295,95,2071,1
296,95,2762,5
297,96,4878,3
298,96,2801,5
299,96,3709,1
300,97,3383,5
301,97,2760,2
302,97,3281,1
303,97,445,4
304,98,442,3
305,98,4419,3
306,99,1556,5
307,99,1924,2
308,99,1156,2
309,99,2853,4
310,100,1151,1
311,100,3463,2
312,100,2673,4
313,101,3586,5
314,101,460,4
315,101,3559,4
316,101,1717,4
317,102,2383,1
318,102,1313,4
319,102,1774,5
320,103,3354,5
321,103,2730,2
322,103,2079,3
323,103,3367,2
324,104,428,1
325,104,1513,5
326,105,4325,2
327,105,3835,1
328,105,539,2
329,106,1257,5
330,106,1141,2
331,106,3867,4
332,107,3527,3
333,107,3374,3
334,107,4778,5
335,107,1447,4
336,108,573,5
337,108,1596,3
338,108,4620,1
339,108,2481,5
340,108,1195,4
341,109,2257,1
342,110,4079,3
343,110,3320,3
344,110,2709,2
345,110,3877,1
346,110,1331,5
347,111,3835,5
348,111,84,4
349,111,4043,2
350,111,1792,3
351,111,3986,5
352,112,888,5
353,112,4676,2
354,113,378,4
355,114,2453,2
356,115,4690,3
357,115,501,4
358,115,124,5
359,115,835,4
360,115,2401,3
361,116,2351,3
362,117,2763,1
363,117,2384,5
364,117,4039,3
365,118,4274,5
366,118,41,4
367,118,1283,1
368,118,2612,3
369,119,912,4
370,119,620,4
371,120,4465,4
372,121,327,2
373,121,2799,3
374,121,3308,4
375,122,4106,5
376,122,3240,4
377,123,3548,4
378,123,3897,5
379,124,3223,1
380,124,2136,4
381,124,4520,5
382,124,4511,3
383,124,173,5
384,125,4245,3
385,126,2354,4
386,126,1043,4
387,126,2705,4
388,127,126,1
389,127,1387,2
390,128,587,2
391,128,439,2
392,129,1270,3
393,129,4730,5
394,129,908,2
