order_id,customer_id,order_status,created_at
1,1518,SHIPPED,1707002685
2,886,PENDING,1704286011
3,1589,CANCELLED,1706567896
4,1510,SHIPPED,1705332314
5,945,PAID,1708264314
6,1893,CANCELLED,1707055334
7,314,PENDING,1705096814
8,808,CANCELLED,1706503225
9,78,PAID,1706392337
10,1412,PAID,1707353423
11,1405,PENDING,1705850394
12,421,PENDING,1708348866
13,259,PENDING,1705298784
14,416,PAID,1706097245
15,1944,CANCELLED,1709233486
16,176,CANCELLED,1704723355
17,488,PENDING,1705853517
18,520,PENDING,1704273527
19,1934,PAID,1707563616
20,850,PENDING,1705923207
21,1952,CANCELLED,1704084203
22,1767,CANCELLED,1708821144
23,855,SHIPPED,1706974580
24,1357,SHIPPED,1706541543
25,1813,CANCELLED,1704389428
26,1436,PAID,1708369057
27,932,PAID,1707115667
28,1659,CANCELLED,1706606785
29,1315,SHIPPED,1708075651
30,701,SHIPPED,1708646086
31,674,CANCELLED,1706160568
32,1760,PENDING,1705918646
33,1031,SHIPPED,1704594216
34,1526,SHIPPED,1709228552
35,1108,PENDING,1705685734
36,402,CANCELLED,1707890452
37,55,PAID,1708038275
38,309,PAID,1706805631
39,1267,CANCELLED,1706812564
40,1283,CANCELLED,1708914642
41,335,CANCELLED,1706882610
42,1468,PAID,1709233645
43,664,SHIPPED,1705880292
44,116,PENDING,1708209237
45,478,CANCELLED,1708664514
46,24,PENDING,1706044579
47,495,PAID,1707171288
48,1610,PENDING,1708304964
49,1899,PAID,1707613021
50,663,SHIPPED,1708521308
51,604,PAID,1705051513
52,509,PENDING,1705071916
53,862,PENDING,1708145607
54,947,PENDING,1707589944
55,600,SHIPPED,1704544865
56,1827,CANCELLED,1706910125
57,1482,CANCELLED,1706792813
58,1293,PAID,1705411721
59,1430,SHIPPED,1708253160
60,786,CANCELLED,1707640128
61,710,PAID,1708945126
62,918,PENDING,1708735774
63,28,SHIPPED,1706212315
64,230,CANCELLED,1707778031
65,104,PAID,1707114222
66,153,CANCELLED,1707300715
67,321,PENDING,1705706674
68,1585,PAID,1708167670
69,108,CANCELLED,1707416978
70,1605,PENDING,1704612769
71,264,SHIPPED,1707584653
72,1312,SHIPPED,1707865944
73,470,CANCELLED,1705467777
74,1364,PAID,1708310742
75,456,PENDING,1708667864
76,161,PENDING,1708475112
77,284,PAID,1706820771
78,631,CANCELLED,1707604598
79,768,PENDING,1706850144
80,713,PAID,1708938599
81,1187,PAID,1705842038
82,953,PENDING,1709193229
83,49,SHIPPED,1705120879
84,1251,PENDING,1706408716
85,70,PAID,1706450129
86,1623,PENDING,1707461320
87,485,PENDING,1706570507
88,1630,PAID,1707036922
89,898,PAID,1705475730
90,1498,CANCELLED,1705661317
91,682,PENDING,1707110181
92,134,CANCELLED,1705095886
93,1600,PENDING,1708577973
94,280,PAID,1705785083
95,1612,PENDING,1709117277
96,856,SHIPPED,1708705984
97,508,PENDING,1705940871
98,1954,CANCELLED,1707973089
99,1017,PENDING,1705638815
100,1064,PAID,1705816453
101,976,PAID,1705105200
102,1359,CANCELLED,1709139172
103,1116,PENDING,1704775768
104,1780,SHIPPED,1704587965
105,1029,PENDING,1706997722
106,1860,PENDING,1706521561
107,1985,SHIPPED,1705726390
108,746,SHIPPED,1704418326
109,692,SHIPPED,1707871623
110,210,SHIPPED,1705316690
111,1040,PENDING,1708082121
112,1942,CANCELLED,1707759538
113,1659,PAID,1707931207
114,1146,CANCELLED,1708126064
115,624,SHIPPED,1708941770
116,243,PAID,1706555980
117,879,PENDING,1704753917
118,1153,SHIPPED,1707818934
119,343,SHIPPED,1707408590
120,1836,PAID,1707844307
121,1834,PENDING,1705521646
122,354,PENDING,1705478076
123,1161,PENDING,1707743606
124,257,SHIPPED,1709215011
125,627,PAID,1704099901
126,1542,CANCELLED,1705260149
127,695,CANCELLED,1708197308
128,946,PENDING,1706241712
129,225,PENDING,1706531816
130,520,CANCELLED,1704580358
131,1165,SHIPPED,1704225534
132,426,PAID,1707035140
133,80,CANCELLED,1707145455
134,1493,SHIPPED,1706888327
135,1305,PAID,1708343535
136,134,SHIPPED,1706286494
137,1997,PENDING,1705718985
138,634,PENDING,1709005829
139,1878,PENDING,1705354950
140,106,PAID,1706506814
141,257,CANCELLED,1706335601
142,1272,SHIPPED,1709213554
143,607,CANCELLED,1708232847
