product_id,name,category,price,stock
1,Product 1,books,25.5,246
2,Product 2,electronics,94.64,986
3,Product 3,home,369.74,457
4,Product 4,books,151.22,520
5,Product 5,clothing,241.63,101
6,Product 6,sports,281.52,352
7,Product 7,toys,460.58,277
8,Product 8,home,405.85,477
9,Product 9,sports,245.13,236
10,Product 10,clothing,120.66,906
11,Product 11,toys,258.19,737
12,Product 12,home,41.11,799
13,Product 13,sports,416.67,498
14,Product 14,electronics,209.57,351
15,Product 15,electronics,375.99,223
16,Product 16,books,419.9,319
17,Product 17,toys,332.52,242
18,Product 18,sports,231.9,364
19,Product 19,toys,384.07,144
20,Product 20,sports,400.07,481
21,Product 21,home,91.73,861
22,Product 22,sports,203.08,405
23,Product 23,clothing,425.74,135
24,Product 24,electronics,405.38,666
25,Product 25,toys,389.86,460
26,Product 26,sports,251.91,464
27,Product 27,home,155.26,797
28,Product 28,clothing,383.65,580
29,Product 29,toys,307.05,264
30,Product 30,electronics,121.07,749
31,Product 31,books,462.19,854
32,Product 32,sports,204.87,363
33,Product 33,sports,377.8,22
34,Product 34,toys,332.12,374
35,Product 35,electronics,361.72,711
36,Product 36,toys,159.47,432
37,Product 37,clothing,114.58,519
38,Product 38,toys,343.34,570
39,Product 39,electronics,29.8,376
40,Product 40,home,188.92,842
41,Product 41,books,322.63,405
42,Product 42,books,63.21,546
43,Product 43,clothing,189.17,298
44,Product 44,books,425.2,184
45,Product 45,toys,119.41,999
46,Product 46,clothing,334.74,404
47,Product 47,clothing,227.34,475
48,Product 48,books,363.5,613
49,Product 49,books,97.66,531
50,Product 50,clothing,305.41,209
51,Product 51,toys,349.8,903
52,Product 52,toys,356.61,826
53,Product 53,clothing,466.0,480
54,Product 54,sports,457.76,99
55,Product 55,toys,316.64,770
56,Product 56,sports,496.71,128
57,Product 57,clothing,228.68,798
58,Product 58,home,498.7,171
59,Product 59,toys,359.81,675
60,Product 60,sports,180.21,837
61,Product 61,clothing,145.8,194
62,Product 62,sports,401.24,821
63,Product 63,electronics,37.17,742
64,Product 64,books,282.42,72
65,Product 65,home,166.28,326
66,Product 66,toys,209.05,491
67,Product 67,electronics,489.2,913
68,Product 68,toys,425.38,331
69,Product 69,home,237.56,638
70,Product 70,clothing,317.75,164
71,Product 71,clothing,296.6,589
72,Product 72,toys,103.06,53
73,Product 73,home,252.42,224
74,Product 74,clothing,202.76,138
75,Product 75,books,13.92,611
76,Product 76,electronics,160.82,529
77,Product 77,toys,83.71,36
78,Product 78,toys,295.89,439
79,Product 79,books,53.37,99
80,Product 80,home,494.7,387
81,Product 81,toys,32.99,249
82,Product 82,toys,185.46,391
83,Product 83,toys,394.39,828
84,Product 84,toys,417.19,258
85,Product 85,books,467.16,257
86,Product 86,toys,292.86,252
87,Product 87,electronics,285.47,570
88,Product 88,electronics,385.85,24
89,Product 89,sports,285.92,244
90,Product 90,toys,344.86,783
91,Product 91,toys,86.83,320
92,Product 92,books,181.6,475
93,Product 93,books,30.5,320
94,Product 94,books,135.94,242
95,Product 95,books,400.49,36
96,Product 96,books,254.93,136
97,Product 97,sports,252.46,816
98,Product 98,clothing,390.5,460
99,Product 99,clothing,321.16,600
100,Product 100,electronics,454.43,139
101,Product 101,sports,50.79,719
102,Product 102,toys,222.78,255
103,Product 103,toys,472.63,629
104,Product 104,electronics,225.97,67
105,Product 105,toys,203.47,530
106,Product 106,toys,199.52,549
107,Product 107,sports,180.91,846
108,Product 108,clothing,472.74,681
109,Product 109,home,282.41,768
110,Product 110,home,47.59,920
111,Product 111,sports,147.33,711
112,Product 112,clothing,84.72,193
113,Product 113,clothing,170.36,598
114,Product 114,home,417.87,683
115,Product 115,electronics,232.68,823
116,Product 116,clothing,284.12,796
117,Product 117,sports,123.57,358
118,Product 118,clothing,120.83,818
119,Product 119,sports,161.22,605
120,Product 120,sports,172.62,398
121,Product 121,electronics,103.74,209
122,Product 122,home,148.3,48
123,Product 123,sports,479.22,447
124,Product 124,clothing,142.54,801
125,Product 125,home,496.47,998
126,Product 126,sports,439.8,192
127,Product 127,toys,280.57,583
128,Product 128,home,450.74,108
129,Product 129,electronics,390.95,464
130,Product 130,clothing,247.71,670
131,Product 131,home,391.23,491
132,Product 132,sports,419.92,759
133,Product 133,sports,55.53,49
134,Product 134,electronics,372.55,426
135,Product 135,electronics,262.34,520
136,Product 136,electronics,246.63,300
137,Product 137,books,357.24,597
138,Product 138,home,234.45,68
139,Product 139,books,228.82,405
140,Product 140,sports,64.65,555
141,Product 141,electronics,49.27,667
142,Product 142,electronics,487.97,400
143,Product 143,clothing,362.75,666
144,Product 144,toys,350.44,645
145,Product 145,home,385.39,475
146,Product 146,toys,234.07,318
147,Product 147,sports,195.51,377
148,Product 148,home,278.15,938
149,Product 149,clothing,481.56,536
150,Product 150,clothing,188.81,451
151,Product 151,electronics,153.34,490
152,Product 152,books,454.44,306
153,Product 153,books,465.44,295
154,Product 154,home,480.46,127
155,Product 155,electronics,182.83,656
156,Product 156,sports,207.25,366
157,Product 157,toys,197.93,810
158,Product 158,sports,153.19,68
159,Product 159,toys,443.54,919
160,Product 160,books,299.44,778
161,Product 161,sports,71.74,235
162,Product 162,clothing,57.33,330
163,Product 163,toys,237.37,959
164,Product 164,sports,181.84,353
165,Product 165,sports,217.6,389
166,Product 166,home,298.5,696
167,Product 167,toys,87.79,905
168,Product 168,home,193.17,337
169,Product 169,home,465.65,628
170,Product 170,books,190.54,549
171,Product 171,electronics,341.44,377
172,Product 172,electronics,362.79,897
173,Product 173,clothing,357.33,854
174,Product 174,home,198.52,148
175,Product 175,home,488.13,195
176,Product 176,clothing,349.25,374
177,Product 177,toys,356.8,932
178,Product 178,toys,430.39,45
179,Product 179,toys,180.94,779
180,Product 180,electronics,64.58,48
181,Product 181,electronics,26.09,762
182,Product 182,books,220.76,942
183,Product 183,clothing,336.32,419
184,Product 184,toys,99.27,5
185,Product 185,sports,46.3,838
186,Product 186,clothing,408.75,679
187,Product 187,home,355.67,580
188,Product 188,sports,460.64,187
189,Product 189,electronics,420.37,863
190,Product 190,clothing,229.59,725
191,Product 191,toys,44.37,317
192,Product 192,electronics,453.98,985
193,Product 193,sports,18.99,230
194,Product 194,clothing,454.8,428
195,Product 195,home,266.09,508
196,Product 196,books,21.48,280
197,Product 197,electronics,206.66,230
198,Product 198,books,71.61,266
199,Product 199,home,68.17,344
200,Product 200,toys,48.9,609
201,Product 201,books,376.52,487
202,Product 202,home,381.09,105
203,Product 203,clothing,269.11,571
204,Product 204,books,392.11,311
205,Product 205,sports,418.07,69
206,Product 206,home,152.03,180
207,Product 207,clothing,229.77,586
208,Product 208,sports,255.73,803
209,Product 209,toys,77.08,441
210,Product 210,clothing,312.48,376
211,Product 211,sports,95.9,956
212,Product 212,books,292.92,891
