order_item_id,order_id,product_id,quantity
1,1,450,5
2,1,150,5
3,2,285,1
4,2,506,5
5,2,233,5
6,2,17,4
7,2,930,3
8,3,924,5
9,3,556,5
10,3,219,5
11,3,266,2
12,4,369,5
13,4,39,1
14,4,966,3
15,5,620,1
16,5,508,3
17,5,327,4
18,5,230,3
19,5,373,5
20,6,753,4
21,6,642,2
22,6,130,5
23,6,464,1
24,7,112,3
25,7,308,4
26,7,316,3
27,7,544,2
28,7,803,2
29,8,4,1
30,9,91,5
31,9,510,5
32,9,321,3
33,10,344,1
34,10,329,1
35,11,229,2
36,11,844,1
37,12,540,5
38,13,680,5
39,13,699,5
40,14,220,5
41,14,274,4
42,14,881,2
43,14,565,4
44,15,976,2
45,15,168,3
46,15,223,4
47,15,596,1
48,16,943,5
49,16,558,4
50,16,507,3
51,16,251,5
52,17,781,2
53,17,730,1
54,18,387,5
55,18,38,1
56,18,619,5
57,18,9,1
58,19,122,1
59,19,845,4
60,19,615,4
61,20,775,2
62,21,421,4
63,21,103,2
64,21,20,5
65,21,944,3
66,21,550,1
67,22,854,1
68,23,306,2
69,23,221,4
70,24,865,5
71,24,158,2
72,25,505,1
73,25,166,5
74,26,523,4
75,27,230,1
76,27,166,1
77,28,179,5
78,28,982,1
79,28,630,1
80,28,587,4
81,28,752,3
82,29,630,2
83,29,638,4
84,29,650,3
85,29,373,3
86,29,87,4
87,30,465,5
88,30,510,4
89,30,749,4
90,30,221,4
91,31,248,1
92,31,872,5
93,31,725,5
94,32,29,4
95,32,384,2
96,32,954,4
97,33,905,1
98,33,550,4
99,34,43,4
100,34,454,4
101,35,984,4
102,35,807,5
103,36,244,4
104,37,186,1
105,38,51,5
106,38,148,4
107,39,918,3
108,39,606,2
109,39,529,2
110,39,58,4
111,39,612,1
112,40,329,4
113,41,672,2
114,41,68,5
115,42,102,3
116,42,14,1
117,42,739,2
118,42,43,1
119,42,848,1
120,43,836,3
121,43,484,1
122,43,415,1
123,43,700,5
124,44,284,3
125,44,306,2
126,44,311,1
127,44,19,5
128,44,910,5
129,45,714,3
130,46,387,2
131,46,624,2
132,46,66,4
133,46,293,2
134,47,782,5
135,47,519,2
136,47,710,3
137,47,340,2
138,47,696,5
139,48,533,5
140,48,882,3
141,49,228,5
142,49,508,3
143,49,111,2
144,49,675,2
145,50,742,2
146,50,648,1
147,50,895,3
148,50,464,2
149,51,685,2
150,52,369,1
151,52,51,4
152,52,545,2
153,53,49,1
154,53,808,1
155,53,3,2
156,53,60,5
157,53,174,4
158,54,951,3
159,54,125,5
160,55,115,5
161,55,399,5
162,55,978,1
163,56,504,3
164,57,382,1
165,58,346,5
166,59,553,5
167,60,342,3
168,60,210,4
169,60,231,3
170,61,707,2
171,62,124,1
172,62,831,4
173,62,55,4
174,63,909,5
175,63,370,3
176,63,482,3
177,63,518,1
178,63,23,4
179,64,415,5
180,65,768,5
181,65,451,5
182,65,184,5
183,66,223,4
184,66,145,5
185,66,564,5
186,67,555,4
187,67,350,2
188,67,828,5
189,67,840,1
190,68,331,3
191,68,976,5
192,68,814,4
193,68,558,1
194,68,663,2
195,69,151,5
196,69,997,5
197,69,960,2
198,69,968,5
199,70,672,5
