vote_id,user_id,post_id,direction,timestamp
1,113,877,1,1708243752
2,105,998,1,1708882822
3,112,865,-1,1708138670
4,110,2989,1,1707743086
5,418,2165,-1,1708362987
6,56,2653,-1,1707583649
7,303,138,-1,1707194687
8,273,648,1,1707374737
9,417,1200,-1,1707845690
10,333,2939,-1,1707302716
11,390,2164,-1,1708568489
12,309,473,1,1708252887
13,194,2821,1,1707419060
14,477,1302,1,1707519710
15,324,785,-1,1707370375
16,383,1981,1,1708378682
17,379,1478,-1,1708759583
18,86,1415,1,1707433134
19,364,552,1,1709138345
20,437,2867,-1,1707830913
21,388,525,-1,1709015209
22,363,2952,-1,1707842200
23,50,3,-1,1709124763
24,202,701,-1,1709126224
25,340,628,-1,1707864772
26,133,2206,-1,1707058571
27,92,661,-1,1708607539
28,267,1934,1,1707202370
29,496,1589,-1,1707904289
30,188,611,-1,1707546692
31,227,286,-1,1708855757
32,47,1679,1,1707249627
33,207,1298,1,1707666800
34,117,422,-1,1707179451
35,88,2267,-1,1708466438
36,329,1587,1,1707163018
37,14,2198,-1,1706759065
38,122,1431,-1,1708888045
39,370,2374,1,1708612725
40,219,468,-1,1708930411
41,396,1586,-1,1708586323
42,379,1383,-1,1707097408
43,8,650,-1,1709150775
44,277,2188,-1,1708119306
45,396,611,1,1707930544
46,23,2685,-1,1707933772
47,266,728,-1,1709061014
48,49,1296,-1,1709020706
49,256,2903,1,1706940622
50,372,2113,1,1708508918
51,249,2291,1,1707415627
52,55,1172,-1,1708587137
53,458,2708,-1,1709078578
54,345,222,-1,1708720838
55,171,2865,-1,1707824704
56,399,158,-1,1708321175
57,13,664,1,1706813482
58,350,502,1,1709234170
59,257,2172,-1,1708122968
60,190,579,-1,1708625985
61,468,2592,-1,1706793432
62,148,949,-1,1708990175
63,8,1365,1,1709126329
64,181,1444,1,1706993539
65,204,407,-1,1707631681
66,391,282,-1,1707650414
67,148,1782,-1,1707287366
68,25,2735,1,1707435949
69,200,306,1,1707466533
70,112,2901,-1,1708800458
71,7,775,1,1708931318
72,94,1843,1,1708255743
73,76,2990,-1,1707655590
74,76,1453,-1,1708409551
75,251,2165,1,1708643427
76,59,340,-1,1706942219
77,197,1798,1,1706846410
78,11,1594,-1,1707219904
79,320,497,-1,1707189439
80,321,849,1,1707156541
81,252,669,1,1707193051
82,493,851,-1,1708868257
83,179,2071,1,1707504483
84,350,118,1,1707032412
85,116,2634,1,1707669397
86,330,2375,-1,1707801237
87,65,1232,1,1708698146
88,288,2254,1,1708732810
89,13,367,1,1709248840
90,71,2985,1,1707454973
91,130,2730,-1,1707929834
92,193,187,-1,1706757033
93,448,810,1,1709218901
94,475,267,1,1709028141
95,223,1365,-1,1707332949
96,422,1068,1,1707302937
97,346,1730,-1,1707241616
98,494,1959,1,1707946834
99,76,1154,-1,1708935034
100,145,1789,1,1708252088
101,261,2181,1,1708187082
102,284,1579,-1,1708073125
103,31,1059,-1,1708156688
