delivery_id,order_id,driver_id,estimated_minutes,actual_minutes
1,1,802,14,79
2,2,185,41,36
3,3,467,49,51
4,4,912,36,17
5,5,327,47,10
6,6,963,38,61
7,7,580,26,64
8,8,57,38,70
9,9,149,17,34
10,10,876,53,74
11,11,710,19,56
12,12,896,52,12
13,13,951,37,10
14,14,994,14,41
15,15,119,45,68
16,16,842,24,66
17,17,793,41,65
18,18,407,26,74
19,19,181,56,40
20,20,41,38,20
21,21,438,12,21
22,22,716,42,69
23,23,684,30,50
24,24,680,36,53
25,25,223,55,71
26,26,750,14,44
27,27,708,30,69
28,28,515,57,73
29,29,537,53,74
30,30,415,22,65
31,31,284,43,62
32,32,771,41,41
33,33,594,18,43
34,34,737,17,39
35,35,814,58,12
36,36,467,37,20
37,37,460,60,17
38,38,582,31,77
39,39,176,52,78
40,40,300,28,45
41,41,361,22,44
42,42,877,34,73
43,43,378,24,52
44,44,286,13,60
45,45,259,40,75
46,46,750,48,70
47,47,83,25,74
48,48,628,41,78
49,49,352,35,40
50,50,201,42,65
51,51,631,54,62
52,52,794,40,40
53,53,368,26,58
54,54,623,17,44
55,55,851,55,25
56,56,879,34,45
57,57,177,45,78
58,58,488,34,50
59,59,419,60,45
60,60,8,50,59
61,61,690,30,64
62,62,592,18,24
63,63,909,40,56
64,64,794,27,59
65,65,373,42,23
66,66,246,18,15
67,67,173,26,44
68,68,539,43,21
69,69,254,27,14
70,70,179,50,59
71,71,539,19,25
72,72,777,34,22
73,73,715,50,42
74,74,577,56,26
75,75,902,44,48
76,76,875,30,47
77,77,29,20,34
78,78,640,56,14
79,79,588,21,59
80,80,631,36,19
81,81,705,28,55
82,82,26,30,45
83,83,83,25,52
84,84,950,27,79
85,85,275,18,45
86,86,971,16,23
87,87,650,38,42
88,88,886,32,66
89,89,294,49,15
90,90,243,11,20
91,91,389,55,10
92,92,104,36,79
93,93,523,13,65
94,94,529,42,72
95,95,744,37,19
96,96,716,54,35
97,97,246,28,73
98,98,367,54,52
99,99,250,20,28
100,100,858,17,33
101,101,259,52,20
102,102,165,49,42
103,103,207,53,30
104,104,914,25,20
105,105,43,23,64
106,106,177,35,64
107,107,192,13,31
108,108,70,15,66
109,109,836,54,49
110,110,544,52,16
111,111,909,35,57
112,112,615,34,35
113,113,500,60,54
114,114,851,60,45
115,115,170,60,25
116,116,148,54,41
117,117,904,18,54
118,118,557,15,68
119,119,923,47,36
120,120,325,25,14
121,121,524,19,14
122,122,805,19,68
123,123,697,10,76
124,124,696,56,32
125,125,828,53,15
126,126,420,45,21
127,127,838,27,26
128,128,110,28,19
129,129,760,47,11
130,130,855,23,35
131,131,306,43,41
132,132,160,35,40
133,133,754,28,22
134,134,214,12,60
135,135,271,24,16
136,136,693,16,74
137,137,619,53,27
138,138,529,60,44
139,139,212,45,35
140,140,628,15,13
141,141,228,52,36
142,142,70,45,27
143,143,426,17,76
144,144,774,60,57
145,145,617,32,12
146,146,608,44,68
147,147,346,20,19
148,148,276,30,80
149,149,180,47,51
150,150,112,46,44
151,151,17,22,79
152,152,478,59,44
153,153,946,40,53
154,154,700,18,73
155,155,601,56,63
156,156,317,52,11
157,157,923,47,13
158,158,398,52,62
159,159,236,12,29
160,160,519,14,24
161,161,440,37,72
162,162,528,14,53
163,163,494,47,47
164,164,804,39,37
165,165,355,57,80
166,166,288,20,17
167,167,684,52,74
168,168,233,57,61
169,169,806,40,13
170,170,68,55,58
171,171,379,18,12
172,172,588,12,80
173,173,897,12,69
174,174,215,51,49
175,175,121,31,57
176,176,812,51,53
177,177,6,12,19
178,178,106,12,31
