menu_item_id,restaurant_id,name,price,category
1,162,Item 1,21.05,drink
2,678,Item 2,10.76,drink
3,251,Item 3,9.54,entree
4,207,Item 4,23.72,entree
5,322,Item 5,11.29,drink
6,717,Item 6,32.53,dessert
7,315,Item 7,37.24,dessert
8,275,Item 8,6.13,dessert
9,657,Item 9,33.54,entree
10,882,Item 10,12.67,entree
11,112,Item 11,22.23,drink
12,541,Item 12,7.86,entree
13,450,Item 13,10.2,drink
14,319,Item 14,31.08,side
15,861,Item 15,5.86,entree
16,398,Item 16,35.71,entree
17,245,Item 17,28.71,side
18,946,Item 18,12.44,dessert
19,860,Item 19,9.92,side
20,797,Item 20,21.12,dessert
21,639,Item 21,31.26,drink
22,433,Item 22,12.01,dessert
23,770,Item 23,9.73,drink
24,401,Item 24,22.01,dessert
25,513,Item 25,32.87,side
26,718,Item 26,17.44,side
27,66,Item 27,10.16,dessert
28,703,Item 28,15.02,dessert
29,84,Item 29,31.67,dessert
30,584,Item 30,20.38,entree
31,191,Item 31,8.51,drink
32,876,Item 32,14.19,side
33,26,Item 33,14.23,side
34,201,Item 34,19.06,entree
35,628,Item 35,19.52,dessert
36,195,Item 36,32.8,dessert
37,100,Item 37,34.53,entree
38,306,Item 38,7.71,side
39,797,Item 39,11.93,entree
40,365,Item 40,31.54,drink
41,41,Item 41,8.24,drink
42,481,Item 42,8.17,side
43,495,Item 43,19.46,entree
44,950,Item 44,34.94,drink
45,445,Item 45,35.36,dessert
46,168,Item 46,14.78,entree
47,828,Item 47,7.48,dessert
48,136,Item 48,7.17,side
49,375,Item 49,32.71,drink
50,738,Item 50,19.2,dessert
51,762,Item 51,23.01,dessert
52,516,Item 52,8.2,drink
53,996,Item 53,32.21,entree
54,409,Item 54,34.9,drink
55,32,Item 55,27.43,entree
56,408,Item 56,21.42,side
57,970,Item 57,19.04,entree
58,815,Item 58,28.9,drink
59,768,Item 59,15.81,side
60,130,Item 60,28.42,dessert
61,232,Item 61,25.03,side
62,848,Item 62,27.39,side
63,33,Item 63,9.95,dessert
64,649,Item 64,29.43,dessert
65,548,Item 65,30.67,drink
66,646,Item 66,17.99,entree
67,12,Item 67,23.18,side
68,105,Item 68,10.06,dessert
69,137,Item 69,23.1,side
70,613,Item 70,24.59,side
71,569,Item 71,36.83,drink
72,931,Item 72,37.02,dessert
73,483,Item 73,34.9,dessert
74,734,Item 74,20.0,dessert
75,702,Item 75,34.56,side
76,216,Item 76,16.17,drink
77,785,Item 77,23.25,dessert
78,360,Item 78,35.28,entree
79,984,Item 79,25.1,dessert
80,393,Item 80,7.27,dessert
81,411,Item 81,34.01,drink
82,814,Item 82,23.71,dessert
83,806,Item 83,14.04,entree
84,618,Item 84,27.31,entree
85,938,Item 85,32.19,side
86,500,Item 86,15.58,dessert
87,285,Item 87,6.26,dessert
88,987,Item 88,18.46,dessert
89,773,Item 89,31.9,entree
90,397,Item 90,35.71,drink
91,212,Item 91,30.95,side
92,116,Item 92,22.74,drink
93,409,Item 93,13.45,entree
94,136,Item 94,35.46,side
95,441,Item 95,13.2,side
96,303,Item 96,29.1,entree
97,43,Item 97,20.16,dessert
98,843,Item 98,24.07,dessert
99,491,Item 99,37.69,drink
100,619,Item 100,29.17,dessert
101,717,Item 101,9.64,drink
102,74,Item 102,9.8,dessert
103,118,Item 103,29.69,drink
104,120,Item 104,5.84,side
105,1000,Item 105,13.94,entree
106,681,Item 106,38.55,entree
107,852,Item 107,24.94,dessert
108,556,Item 108,24.24,entree
109,150,Item 109,35.11,entree
110,743,Item 110,18.69,drink
111,523,Item 111,6.72,dessert
112,87,Item 112,30.41,entree
113,672,Item 113,17.74,drink
114,220,Item 114,20.67,drink
115,724,Item 115,17.94,drink
116,241,Item 116,33.3,drink
117,201,Item 117,20.93,dessert
118,381,Item 118,9.03,drink
119,140,Item 119,9.47,dessert
120,782,Item 120,19.66,dessert
121,788,Item 121,20.17,dessert
122,291,Item 122,21.41,side
123,474,Item 123,39.4,entree
124,711,Item 124,10.33,drink
125,783,Item 125,20.49,side
126,740,Item 126,18.02,entree
127,938,Item 127,23.44,side
128,180,Item 128,28.72,side
129,572,Item 129,12.31,drink
130,893,Item 130,10.54,drink
131,928,Item 131,32.03,drink
132,283,Item 132,16.1,dessert
133,74,Item 133,34.82,drink
134,90,Item 134,22.35,drink
135,970,Item 135,31.91,side
136,643,Item 136,17.96,entree
137,291,Item 137,19.51,entree
138,33,Item 138,16.28,dessert
139,462,Item 139,13.8,dessert
140,229,Item 140,35.02,entree
141,243,Item 141,13.7,entree
142,844,Item 142,15.14,entree
143,794,Item 143,26.72,side
144,767,Item 144,30.2,entree
145,549,Item 145,28.09,entree
146,688,Item 146,18.5,side
147,474,Item 147,17.56,dessert
148,8,Item 148,5.54,dessert
149,475,Item 149,27.28,side
150,843,Item 150,17.83,drink
151,150,Item 151,22.05,dessert
152,48,Item 152,35.96,drink
153,493,Item 153,8.14,entree
154,435,Item 154,26.56,side
155,383,Item 155,31.24,side
156,529,Item 156,35.34,side
157,438,Item 157,19.7,entree
158,193,Item 158,13.84,dessert
159,743,Item 159,10.92,entree
160,46,Item 160,10.23,side
161,446,Item 161,34.71,dessert
162,985,Item 162,5.24,drink
163,781,Item 163,34.45,entree
164,292,Item 164,27.72,dessert
165,611,Item 165,20.19,drink
166,523,Item 166,13.78,side
167,798,Item 167,29.55,entree
168,33,Item 168,19.52,drink
169,626,Item 169,33.59,dessert
170,878,Item 170,5.21,dessert
171,127,Item 171,14.67,side
172,684,Item 172,17.74,drink
173,30,Item 173,26.41,drink
174,111,Item 174,6.98,side
175,98,Item 175,5.77,drink
176,489,Item 176,12.24,dessert
177,974,Item 177,23.13,drink
178,872,Item 178,32.85,entree
179,512,Item 179,32.48,entree
180,96,Item 180,29.01,entree
181,389,Item 181,33.37,dessert
182,687,Item 182,12.08,drink
183,226,Item 183,19.42,entree
184,234,Item 184,35.98,dessert
185,904,Item 185,16.26,entree
186,429,Item 186,9.34,drink
187,705,Item 187,17.18,side
188,94,Item 188,10.2,side
189,409,Item 189,7.85,entree
190,411,Item 190,33.95,entree
191,916,Item 191,13.79,entree
192,487,Item 192,33.4,drink
193,785,Item 193,36.99,drink
194,873,Item 194,11.64,entree
195,138,Item 195,6.59,drink
196,13,Item 196,11.24,drink
197,864,Item 197,30.78,dessert
198,473,Item 198,13.37,drink
199,9,Item 199,7.35,drink
200,500,Item 200,11.91,side
201,179,Item 201,31.65,dessert
202,345,Item 202,37.68,drink
203,350,Item 203,20.02,entree
204,912,Item 204,5.04,entree
205,855,Item 205,14.11,entree
206,896,Item 206,15.29,side
207,146,Item 207,13.26,dessert
208,378,Item 208,21.64,dessert
209,500,Item 209,27.75,drink
210,195,Item 210,27.59,drink
211,921,Item 211,10.31,side
212,170,Item 212,16.22,drink
213,97,Item 213,39.94,drink
214,140,Item 214,28.59,side
215,939,Item 215,12.02,drink
216,9,Item 216,13.75,drink
217,924,Item 217,10.91,drink
218,638,Item 218,9.68,drink
219,664,Item 219,5.12,entree
220,546,Item 220,22.48,side
221,396,Item 221,39.3,entree
222,984,Item 222,27.77,side
223,637,Item 223,28.43,dessert
224,327,Item 224,30.76,side
225,635,Item 225,38.61,entree
226,531,Item 226,30.43,drink
227,876,Item 227,31.95,side
228,774,Item 228,13.92,side
229,49,Item 229,26.21,entree
230,100,Item 230,13.07,dessert
231,329,Item 231,35.57,drink
232,213,Item 232,10.14,dessert
233,357,Item 233,31.51,entree
234,641,Item 234,35.49,side
235,984,Item 235,17.31,side
236,914,Item 236,13.04,entree
237,373,Item 237,23.63,drink
238,241,Item 238,30.27,side
239,598,Item 239,9.66,dessert
240,768,Item 240,7.03,dessert
241,784,Item 241,36.31,drink
242,858,Item 242,29.58,dessert
243,309,Item 243,7.33,entree
244,382,Item 244,13.16,dessert
245,379,Item 245,39.05,entree
246,176,Item 246,6.1,side
247,146,Item 247,10.22,dessert
248,225,Item 248,12.19,drink
249,118,Item 249,30.83,side
250,21,Item 250,21.98,entree
251,472,Item 251,29.84,side
252,231,Item 252,8.51,dessert
253,410,Item 253,16.58,dessert
254,976,Item 254,14.28,drink
255,695,Item 255,8.13,entree
256,585,Item 256,34.48,side
257,996,Item 257,26.33,drink
258,84,Item 258,27.05,side
259,682,Item 259,15.63,drink
260,935,Item 260,18.26,dessert
261,817,Item 261,39.32,side
262,399,Item 262,15.85,drink
263,383,Item 263,20.4,side
264,67,Item 264,8.68,entree
265,679,Item 265,12.45,entree
266,841,Item 266,12.15,side
267,568,Item 267,35.06,dessert
268,644,Item 268,21.62,side
269,173,Item 269,27.99,side
270,727,Item 270,20.09,side
271,312,Item 271,17.67,side
272,55,Item 272,33.49,side
273,514,Item 273,23.95,entree
274,789,Item 274,28.71,dessert
275,281,Item 275,16.71,drink
276,451,Item 276,33.69,drink
277,848,Item 277,16.36,drink
278,863,Item 278,10.7,dessert
279,361,Item 279,36.8,entree
