restaurant_id,name,city,rating
1,Restaurant 1,Atlanta,3.6
2,Restaurant 2,Nashville,4.7
3,Restaurant 3,Chicago,4.5
4,Restaurant 4,Seattle,4.4
5,Restaurant 5,Seattle,4.1
6,Restaurant 6,Nashville,3.1
7,Restaurant 7,Chicago,4.6
8,Restaurant 8,Seattle,4.1
9,Restaurant 9,Denver,3.5
10,Restaurant 10,Atlanta,4.4
11,Restaurant 11,Seattle,3.1
12,Restaurant 12,Seattle,4.7
13,Restaurant 13,Nashville,4.6
14,Restaurant 14,Nashville,4.7
15,Restaurant 15,Atlanta,4.0
16,Restaurant 16,Atlanta,4.0
17,Restaurant 17,Denver,3.3
18,Restaurant 18,Chicago,4.6
19,Restaurant 19,Atlanta,3.6
20,Restaurant 20,Nashville,4.4
21,Restaurant 21,Nashville,3.3
22,Restaurant 22,Atlanta,5.0
23,Restaurant 23,Denver,3.4
24,Restaurant 24,Chicago,4.4
25,Restaurant 25,Nashville,3.5
26,Restaurant 26,Denver,4.5
27,Restaurant 27,Seattle,3.2
28,Restaurant 28,Nashville,4.4
29,Restaurant 29,Denver,3.5
30,Restaurant 30,Seattle,4.3
31,Restaurant 31,Chicago,3.2
32,Restaurant 32,Nashville,3.9
33,Restaurant 33,Denver,3.2
34,Restaurant 34,Chicago,3.8
35,Restaurant 35,Nashville,4.1
36,Restaurant 36,Chicago,4.0
37,Restaurant 37,Seattle,3.5
38,Restaurant 38,Atlanta,4.8
39,Restaurant 39,Seattle,4.5
40,Restaurant 40,Nashville,3.0
41,Restaurant 41,Seattle,3.4
42,Restaurant 42,Chicago,3.8
43,Restaurant 43,Denver,3.9
44,Restaurant 44,Seattle,4.9
45,Restaurant 45,Seattle,3.5
46,Restaurant 46,Chicago,4.8
47,Restaurant 47,Denver,3.7
48,Restaurant 48,Chicago,4.4
49,Restaurant 49,Denver,3.3
50,Restaurant 50,Chicago,3.6
51,Restaurant 51,Atlanta,4.5
52,Restaurant 52,Denver,3.2
53,Restaurant 53,Atlanta,4.4
54,Restaurant 54,Atlanta,4.0
55,Restaurant 55,Seattle,3.2
56,Restaurant 56,Atlanta,4.6
57,Restaurant 57,Chicago,3.8
58,Restaurant 58,Seattle,4.8
59,Restaurant 59,Seattle,4.3
60,Restaurant 60,Denver,3.5
61,Restaurant 61,Atlanta,5.0
62,Restaurant 62,Atlanta,4.9
63,Restaurant 63,Chicago,4.4
64,Restaurant 64,Denver,3.7
65,Restaurant 65,Seattle,4.2
66,Restaurant 66,Chicago,3.8
67,Restaurant 67,Denver,4.1
68,Restaurant 68,Nashville,5.0
69,Restaurant 69,Denver,3.5
70,Restaurant 70,Nashville,5.0
71,Restaurant 71,Denver,5.0
72,Restaurant 72,Chicago,4.3
73,Restaurant 73,Nashville,4.1
74,Restaurant 74,Denver,3.0
75,Restaurant 75,Atlanta,3.5
76,Restaurant 76,Denver,4.5
77,Restaurant 77,Seattle,4.9
78,Restaurant 78,Atlanta,4.2
79,Restaurant 79,Nashville,4.3
80,Restaurant 80,Seattle,4.8
81,Restaurant 81,Nashville,4.3
82,Restaurant 82,Nashville,4.8
83,Restaurant 83,Chicago,3.8
84,Restaurant 84,Nashville,4.6
85,Restaurant 85,Chicago,3.4
86,Restaurant 86,Nashville,3.8
87,Restaurant 87,Atlanta,3.6
88,Restaurant 88,Seattle,4.3
89,Restaurant 89,Atlanta,3.8
90,Restaurant 90,Chicago,4.6
91,Restaurant 91,Chicago,3.8
92,Restaurant 92,Nashville,3.9
93,Restaurant 93,Atlanta,3.3
94,Restaurant 94,Denver,3.3
95,Restaurant 95,Nashville,4.7
96,Restaurant 96,Nashville,3.9
97,Restaurant 97,Chicago,4.5
98,Restaurant 98,Seattle,4.5
99,Restaurant 99,Chicago,3.6
100,Restaurant 100,Chicago,4.8
101,Restaurant 101,Atlanta,3.1
102,Restaurant 102,Denver,3.5
103,Restaurant 103,Atlanta,4.5
104,Restaurant 104,Seattle,4.8
105,Restaurant 105,Chicago,4.1
106,Restaurant 106,Chicago,3.9
107,Restaurant 107,Chicago,3.3
108,Restaurant 108,Chicago,4.0
109,Restaurant 109,Denver,4.2
110,Restaurant 110,Seattle,3.6
111,Restaurant 111,Chicago,4.4
112,Restaurant 112,Seattle,3.4
113,Restaurant 113,Atlanta,3.9
114,Restaurant 114,Atlanta,3.2
115,Restaurant 115,Seattle,3.2
116,Restaurant 116,Nashville,4.7
117,Restaurant 117,Chicago,3.5
118,Restaurant 118,Seattle,4.1
119,Restaurant 119,Seattle,4.8
120,Restaurant 120,Chicago,3.8
121,Restaurant 121,Seattle,3.6
122,Restaurant 122,Seattle,4.1
123,Restaurant 123,Nashville,3.9
124,Restaurant 124,Seattle,4.7
125,Restaurant 125,Nashville,3.4
126,Restaurant 126,Chicago,4.8
127,Restaurant 127,Chicago,4.5
128,Restaurant 128,Nashville,3.7
129,Restaurant 129,Denver,3.9
130,Restaurant 130,Denver,3.6
131,Restaurant 131,Seattle,4.7
132,Restaurant 132,Chicago,3.7
133,Restaurant 133,Denver,3.6
134,Restaurant 134,Atlanta,4.1
135,Restaurant 135,Denver,4.1
136,Restaurant 136,Atlanta,3.5
137,Restaurant 137,Denver,4.6
138,Restaurant 138,Denver,3.3
139,Restaurant 139,Seattle,4.4
140,Restaurant 140,Nashville,4.3
141,Restaurant 141,Denver,4.2
142,Restaurant 142,Chicago,3.5
143,Restaurant 143,Denver,4.1
144,Restaurant 144,Denver,3.8
145,Restaurant 145,Nashville,3.2
146,Restaurant 146,Atlanta,3.7
147,Restaurant 147,Atlanta,4.6
148,Restaurant 148,Nashville,3.7
149,Restaurant 149,Nashville,3.3
150,Restaurant 150,Chicago,3.4
151,Restaurant 151,Denver,3.9
152,Restaurant 152,Chicago,4.3
153,Restaurant 153,Seattle,4.1
154,Restaurant 154,Seattle,3.3
155,Restaurant 155,Nashville,4.2
156,Restaurant 156,Denver,3.7
157,Restaurant 157,Atlanta,3.6
158,Restaurant 158,Chicago,3.2
159,Restaurant 159,Chicago,4.4
160,Restaurant 160,Atlanta,4.3
161,Restaurant 161,Atlanta,4.9
162,Restaurant 162,Seattle,3.3
163,Restaurant 163,Atlanta,3.3
164,Restaurant 164,Atlanta,3.6
165,Restaurant 165,Denver,3.5
166,Restaurant 166,Atlanta,4.2
167,Restaurant 167,Denver,4.6
168,Restaurant 168,Seattle,3.0
169,Restaurant 169,Atlanta,3.6
170,Restaurant 170,Atlanta,3.5
171,Restaurant 171,Seattle,3.9
172,Restaurant 172,Chicago,4.2
173,Restaurant 173,Nashville,3.6
174,Restaurant 174,Nashville,4.4
175,Restaurant 175,Nashville,3.5
176,Restaurant 176,Atlanta,3.8
177,Restaurant 177,Nashville,4.5
178,Restaurant 178,Seattle,3.9
179,Restaurant 179,Seattle,4.1
180,Restaurant 180,Atlanta,4.3
181,Restaurant 181,Chicago,3.8
182,Restaurant 182,Nashville,4.6
183,Restaurant 183,Denver,4.7
184,Restaurant 184,Chicago,4.0
185,Restaurant 185,Seattle,4.3
186,Restaurant 186,Denver,3.2
187,Restaurant 187,Chicago,3.1
188,Restaurant 188,Denver,4.3
189,Restaurant 189,Denver,4.3
190,Restaurant 190,Seattle,3.7
191,Restaurant 191,Denver,3.1
192,Restaurant 192,Nashville,4.1
193,Restaurant 193,Atlanta,4.7
194,Restaurant 194,Atlanta,4.0
195,Restaurant 195,Nashville,3.8
196,Restaurant 196,Chicago,4.2
197,Restaurant 197,Chicago,4.2
198,Restaurant 198,Seattle,4.1
199,Restaurant 199,Nashville,4.5
200,Restaurant 200,Nashville,4.7
201,Restaurant 201,Atlanta,4.7
202,Restaurant 202,Nashville,3.3
203,Restaurant 203,Denver,3.0
204,Restaurant 204,Denver,3.7
205,Restaurant 205,Atlanta,4.9
206,Restaurant 206,Denver,3.5
207,Restaurant 207,Nashville,4.2
208,Restaurant 208,Atlanta,3.1
209,Restaurant 209,Nashville,5.0
210,Restaurant 210,Atlanta,4.7
211,Restaurant 211,Seattle,4.3
212,Restaurant 212,Atlanta,4.3
213,Restaurant 213,Denver,4.7
214,Restaurant 214,Denver,4.2
215,Restaurant 215,Seattle,4.2
216,Restaurant 216,Atlanta,4.7
217,Restaurant 217,Atlanta,3.2
218,Restaurant 218,Atlanta,3.2
219,Restaurant 219,Nashville,3.6
