delivery_id,order_id,driver_id,estimated_minutes,actual_minutes
1,1,146,60,36
2,2,7,11,47
3,3,221,16,32
4,4,175,43,28
5,5,115,11,51
6,6,162,34,18
7,7,197,16,26
8,8,87,27,58
9,9,151,34,50
10,10,17,35,65
11,11,154,11,27
12,12,54,13,25
13,13,110,31,26
14,14,89,37,58
15,15,87,23,55
16,16,118,18,28
17,17,172,16,61
18,18,100,50,78
19,19,200,20,74
20,20,141,48,11
21,21,243,15,66
22,22,45,40,27
23,23,187,10,67
24,24,159,44,36
25,25,152,43,52
26,26,92,29,15
27,27,83,27,22
28,28,148,46,76
29,29,170,14,14
30,30,199,54,16
31,31,117,30,65
32,32,144,52,70
33,33,227,32,34
34,34,245,47,26
35,35,129,25,80
36,36,65,13,48
37,37,13,43,11
38,38,172,35,27
39,39,53,59,66
40,40,194,40,17
41,41,107,37,47
42,42,103,19,40
43,43,29,41,32
44,44,3,38,33
45,45,134,34,22
46,46,26,23,55
47,47,113,12,73
48,48,235,31,33
49,49,66,10,69
50,50,97,26,64
51,51,143,36,46
52,52,196,12,45
53,53,66,43,15
54,54,197,35,74
55,55,28,52,78
56,56,177,50,72
57,57,109,21,76
58,58,58,16,18
59,59,92,18,55
60,60,190,21,78
61,61,147,27,78
62,62,149,50,23
63,63,8,41,38
64,64,69,38,66
65,65,117,33,55
66,66,173,29,38
67,67,187,22,43
68,68,115,45,66
69,69,135,23,10
70,70,2,29,77
71,71,105,36,75
72,72,181,26,39
73,73,47,50,20
74,74,2,32,57
75,75,61,57,15
76,76,137,19,45
77,77,225,25,28
78,78,154,38,33
79,79,76,47,45
80,80,30,19,50
81,81,48,18,12
82,82,97,17,79
83,83,223,43,67
84,84,6,13,17
85,85,104,19,15
86,86,114,31,62
87,87,76,57,41
88,88,118,28,47
89,89,140,10,20
90,90,241,51,27
91,91,237,34,60
92,92,193,15,73
93,93,67,38,20
94,94,221,39,59
95,95,44,52,12
96,96,240,39,54
97,97,214,19,44
98,98,76,24,65
99,99,160,36,24
100,100,138,47,42
101,101,18,32,13
102,102,95,13,73
103,103,117,53,61
104,104,210,15,17
105,105,166,34,54
106,106,84,47,51
107,107,219,25,75
108,108,143,42,62
109,109,90,39,52
110,110,30,36,38
111,111,190,47,77
112,112,36,33,22
113,113,7,33,63
114,114,104,29,36
115,115,235,48,35
116,116,5,44,69
117,117,133,54,53
118,118,92,20,28
119,119,58,33,27
120,120,248,44,29
121,121,31,37,77
122,122,36,50,37
123,123,99,43,14
124,124,173,47,20
125,125,217,42,40
126,126,96,39,42
127,127,59,55,16
128,128,11,15,13
129,129,226,39,65
130,130,80,48,13
131,131,24,31,34
132,132,5,19,36
133,133,119,33,57
134,134,217,17,30
135,135,103,25,49
136,136,162,59,48
137,137,224,49,17
138,138,52,26,17
139,139,154,33,39
140,140,41,52,37
141,141,225,13,54
142,142,138,43,27
143,143,4,29,35
144,144,243,43,33
145,145,199,55,52
146,146,27,27,63
147,147,138,34,68
148,148,240,17,36
149,149,229,33,39
150,150,223,32,74
151,151,80,47,80
152,152,192,37,67
153,153,202,57,24
154,154,121,16,30
155,155,122,31,43
156,156,150,33,43
157,157,152,33,47
158,158,37,58,50
159,159,222,56,11
160,160,238,45,60
161,161,69,20,56
162,162,61,35,48
163,163,245,43,30
164,164,51,13,23
165,165,82,46,40
166,166,211,26,27
167,167,127,26,17
168,168,83,54,23
169,169,107,45,29
170,170,164,20,35
171,171,66,25,22
172,172,128,59,79
173,173,198,25,57
174,174,41,57,28
175,175,250,53,68
176,176,18,16,47
177,177,27,29,13
178,178,113,13,36
179,179,83,44,36
180,180,66,35,17
181,181,172,42,15
182,182,170,59,17
183,183,15,39,69
184,184,118,12,12
185,185,60,15,25
186,186,17,25,59
187,187,34,48,16
188,188,119,18,21
189,189,30,45,70
190,190,221,38,68
191,191,232,46,26
192,192,34,45,50
193,193,105,32,74
194,194,199,31,72
195,195,151,22,34
196,196,1,49,48
197,197,169,38,14
198,198,175,38,22
199,199,131,32,77
200,200,104,47,59
201,201,22,40,19
202,202,91,38,29
203,203,226,39,65
204,204,96,27,68
205,205,65,17,39
206,206,29,29,33
207,207,35,22,71
208,208,7,55,52
209,209,5,12,72
210,210,229,51,11
211,211,12,42,25
212,212,249,25,37
213,213,250,12,61
214,214,142,30,26
215,215,120,16,18
216,216,186,42,40
217,217,3,13,57
218,218,202,28,35
219,219,18,59,76
220,220,183,17,27
221,221,220,40,35
222,222,243,28,46
223,223,68,56,16
224,224,241,28,44
225,225,203,48,71
226,226,14,38,23
227,227,102,52,32
228,228,143,20,35
229,229,198,17,24
230,230,10,21,24
231,231,192,17,71
232,232,213,58,20
233,233,119,35,24
234,234,125,45,41
235,235,188,40,71
236,236,102,25,22
237,237,172,52,28
238,238,30,47,46
239,239,95,46,45
240,240,72,48,38
241,241,149,46,74
242,242,105,18,18
243,243,89,59,11
244,244,95,53,39
245,245,229,21,29
246,246,129,32,47
247,247,173,40,47
248,248,161,60,71
249,249,194,30,28
250,250,121,38,25
251,251,43,33,32
252,252,86,47,50
253,253,162,27,46
254,254,59,36,70
255,255,51,22,69
256,256,29,31,59
257,257,53,25,27
258,258,22,24,16
259,259,213,18,42
260,260,43,30,34
261,261,131,13,13
262,262,122,19,38
263,263,65,55,29
264,264,80,23,60
265,265,155,59,29
266,266,180,14,44
267,267,171,11,75
268,268,238,57,13
269,269,114,30,49
270,270,179,15,51
271,271,197,24,12
272,272,91,25,37
273,273,174,34,62
274,274,136,51,18
275,275,60,59,67
276,276,163,52,52
277,277,218,24,33
278,278,153,58,76
279,279,59,40,80
280,280,23,22,66
281,281,188,40,33
282,282,240,15,63
283,283,67,15,28
284,284,71,51,33
285,285,75,10,38
286,286,166,34,22
287,287,39,23,34
288,288,221,53,18
289,289,124,43,51
290,290,189,39,36
291,291,71,22,69
292,292,9,45,49
293,293,119,41,37
294,294,168,48,44
295,295,115,51,74
296,296,142,32,60
297,297,72,10,50
298,298,236,27,32
299,299,41,52,16
