menu_item_id,restaurant_id,name,price,category
1,15,Item 1,36.53,side
2,22,Item 2,27.76,entree
3,26,Item 3,15.65,side
4,25,Item 4,39.84,dessert
5,47,Item 5,30.61,side
6,44,Item 6,7.15,side
7,33,Item 7,15.0,side
8,9,Item 8,16.6,entree
9,45,Item 9,16.24,drink
10,34,Item 10,32.75,side
11,46,Item 11,20.69,entree
12,22,Item 12,5.98,entree
13,40,Item 13,7.77,dessert
14,22,Item 14,30.11,side
15,33,Item 15,32.05,side
16,15,Item 16,17.56,side
17,44,Item 17,37.53,dessert
18,13,Item 18,27.84,entree
19,45,Item 19,26.05,entree
20,8,Item 20,28.67,drink
21,21,Item 21,25.25,dessert
22,42,Item 22,31.89,side
23,35,Item 23,27.1,side
24,33,Item 24,39.94,entree
25,20,Item 25,9.78,side
26,47,Item 26,8.96,dessert
27,6,Item 27,23.65,drink
28,36,Item 28,23.95,side
29,49,Item 29,5.08,dessert
30,29,Item 30,13.98,entree
31,3,Item 31,13.17,dessert
32,17,Item 32,28.24,dessert
33,33,Item 33,6.95,drink
34,45,Item 34,10.48,dessert
35,23,Item 35,31.93,side
36,10,Item 36,15.93,side
37,41,Item 37,30.76,drink
38,36,Item 38,36.96,dessert
39,49,Item 39,36.93,entree
40,11,Item 40,14.37,side
41,13,Item 41,15.33,dessert
42,38,Item 42,25.75,entree
43,32,Item 43,11.41,drink
44,50,Item 44,38.92,drink
45,15,Item 45,28.27,side
46,2,Item 46,6.85,dessert
47,19,Item 47,7.49,side
48,34,Item 48,35.88,side
49,43,Item 49,31.65,drink
50,20,Item 50,25.33,side
51,17,Item 51,16.76,drink
52,34,Item 52,9.01,side
53,3,Item 53,18.45,drink
54,37,Item 54,28.35,entree
55,15,Item 55,39.7,side
56,26,Item 56,22.44,drink
57,47,Item 57,8.83,drink
58,27,Item 58,9.27,dessert
59,47,Item 59,27.85,entree
60,45,Item 60,23.11,entree
61,41,Item 61,10.43,dessert
62,5,Item 62,7.1,dessert
63,28,Item 63,6.72,drink
64,44,Item 64,25.28,drink
65,4,Item 65,32.38,side
66,19,Item 66,18.05,dessert
67,31,Item 67,30.56,drink
68,11,Item 68,38.62,side
69,43,Item 69,19.84,entree
70,36,Item 70,22.07,dessert
71,7,Item 71,37.06,dessert
72,5,Item 72,33.27,dessert
73,5,Item 73,33.52,entree
74,8,Item 74,15.44,side
75,45,Item 75,13.89,entree
76,20,Item 76,32.39,entree
77,9,Item 77,38.93,side
78,7,Item 78,10.99,dessert
79,25,Item 79,20.81,dessert
80,18,Item 80,27.19,side
81,33,Item 81,26.14,drink
82,29,Item 82,16.44,dessert
83,38,Item 83,7.78,dessert
84,6,Item 84,32.83,side
85,36,Item 85,17.54,entree
86,18,Item 86,20.18,dessert
87,3,Item 87,25.58,side
88,42,Item 88,12.11,dessert
89,20,Item 89,39.7,dessert
90,28,Item 90,18.14,drink
91,22,Item 91,26.15,entree
92,50,Item 92,14.56,entree
93,5,Item 93,32.68,drink
94,25,Item 94,23.86,drink
95,37,Item 95,27.71,entree
96,31,Item 96,15.71,side
97,19,Item 97,36.92,entree
98,43,Item 98,20.28,entree
99,49,Item 99,12.62,dessert
100,15,Item 100,19.31,entree
101,39,Item 101,31.52,drink
102,24,Item 102,14.41,dessert
103,10,Item 103,5.52,drink
104,36,Item 104,31.79,drink
105,27,Item 105,39.86,entree
106,32,Item 106,6.02,drink
107,29,Item 107,31.64,dessert
108,10,Item 108,35.5,drink
109,36,Item 109,7.3,drink
110,18,Item 110,35.85,drink
111,14,Item 111,17.03,dessert
112,13,Item 112,16.91,drink
113,20,Item 113,34.15,dessert
114,33,Item 114,6.65,dessert
115,47,Item 115,13.67,entree
116,49,Item 116,23.49,entree
117,45,Item 117,39.98,side
118,50,Item 118,16.17,side
119,12,Item 119,36.21,side
120,46,Item 120,16.6,drink
121,23,Item 121,38.03,side
122,33,Item 122,7.76,side
123,21,Item 123,37.27,side
124,21,Item 124,28.55,drink
125,16,Item 125,25.98,side
126,16,Item 126,18.81,dessert
127,3,Item 127,12.4,dessert
128,3,Item 128,12.94,entree
129,19,Item 129,19.75,drink
130,38,Item 130,5.65,drink
131,21,Item 131,32.1,drink
132,24,Item 132,16.19,dessert
133,48,Item 133,34.01,dessert
134,34,Item 134,12.01,entree
135,15,Item 135,12.05,entree
136,41,Item 136,27.5,side
137,5,Item 137,9.49,dessert
138,24,Item 138,7.73,side
139,40,Item 139,12.31,entree
140,29,Item 140,14.13,drink
141,49,Item 141,37.63,entree
142,13,Item 142,29.08,entree
143,47,Item 143,5.45,side
144,15,Item 144,21.15,entree
145,5,Item 145,12.06,dessert
146,28,Item 146,27.04,dessert
147,48,Item 147,27.03,side
148,15,Item 148,11.58,entree
149,30,Item 149,29.24,entree
150,6,Item 150,20.3,entree
151,44,Item 151,12.45,dessert
152,41,Item 152,37.67,drink
153,46,Item 153,19.68,drink
154,44,Item 154,36.9,drink
155,13,Item 155,38.13,dessert
156,6,Item 156,18.36,drink
157,5,Item 157,27.46,entree
158,34,Item 158,31.71,drink
159,17,Item 159,36.45,drink
160,1,Item 160,8.64,dessert
161,23,Item 161,25.52,drink
162,12,Item 162,16.97,side
163,22,Item 163,20.09,drink
164,23,Item 164,33.56,dessert
165,36,Item 165,19.05,drink
166,15,Item 166,37.38,entree
167,45,Item 167,22.16,entree
168,29,Item 168,29.85,drink
169,38,Item 169,17.53,side
170,46,Item 170,14.67,entree
171,2,Item 171,23.52,entree
172,33,Item 172,8.78,side
173,20,Item 173,8.86,drink
174,26,Item 174,11.23,entree
175,29,Item 175,16.48,dessert
176,22,Item 176,30.26,drink
177,1,Item 177,21.83,drink
178,40,Item 178,22.18,drink
179,41,Item 179,11.33,drink
180,23,Item 180,11.53,drink
181,46,Item 181,14.96,dessert
182,47,Item 182,12.66,side
183,47,Item 183,13.9,drink
184,8,Item 184,18.33,dessert
185,35,Item 185,13.31,entree
186,49,Item 186,6.39,drink
187,1,Item 187,5.61,dessert
188,43,Item 188,20.88,entree
189,2,Item 189,5.22,side
190,34,Item 190,32.6,side
191,14,Item 191,16.85,side
192,37,Item 192,8.55,side
193,12,Item 193,39.36,dessert
194,39,Item 194,28.78,entree
195,39,Item 195,22.6,drink
196,43,Item 196,21.01,drink
197,46,Item 197,36.04,side
198,50,Item 198,27.05,entree
199,40,Item 199,33.88,side
200,31,Item 200,8.56,entree
