order_id,customer_id,restaurant_id,status,created_at
1,199,7,DELIVERING,1705005600
2,136,31,CANCELLED,1704142324
3,21,9,ACCEPTED,1705743138
4,1,9,CANCELLED,1704189991
5,151,46,DELIVERING,1706517444
6,66,13,PLACED,1705903501
7,139,1,CANCELLED,1705493755
8,62,13,CANCELLED,1705155390
9,188,32,CANCELLED,1704074075
10,181,22,ACCEPTED,1705264909
11,187,26,ACCEPTED,1706475603
12,49,17,CANCELLED,1705886520
13,123,3,DELIVERING,1706087935
14,138,50,DELIVERING,1704729720
15,101,16,DELIVERED,1706444440
16,49,3,DELIVERED,1704906811
17,144,37,CANCELLED,1706124098
18,192,19,DELIVERING,1704296641
19,52,36,DELIVERED,1705399111
20,78,14,PLACED,1706084909
21,108,48,DELIVERED,1704453796
22,65,49,PLACED,1704075780
23,144,9,DELIVERED,1704518180
24,41,33,DELIVERED,1704755580
25,138,41,PLACED,1705389946
26,145,20,ACCEPTED,1705074906
27,111,50,CANCELLED,1704459093
28,17,25,DELIVERING,1705886687
29,186,20,ACCEPTED,1704404508
30,182,20,ACCEPTED,1704370151
31,187,14,ACCEPTED,1704216447
32,178,15,CANCELLED,1705147634
33,124,46,ACCEPTED,1706269410
34,76,46,DELIVERED,1704098720
35,186,13,DELIVERED,1704376397
36,56,25,DELIVERING,1705093736
37,172,3,ACCEPTED,1704199411
38,2,32,DELIVERED,1706510879
39,197,24,DELIVERING,1704445807
40,68,49,CANCELLED,1704764604
41,190,35,PLACED,1705574073
42,48,41,DELIVERED,1704757072
43,148,18,CANCELLED,1705817834
44,71,35,DELIVERING,1704859880
45,159,15,PLACED,1704373174
46,176,18,ACCEPTED,1704874419
47,53,48,CANCELLED,1705217819
48,100,43,PLACED,1706399342
49,144,31,DELIVERING,1705846435
50,175,49,PLACED,1705813930
51,139,44,DELIVERING,1704089964
52,58,6,DELIVERED,1705018844
53,94,22,DELIVERED,1706098810
54,10,21,CANCELLED,1706311838
55,75,46,DELIVERING,1706504838
56,49,46,DELIVERING,1704557982
57,16,1,CANCELLED,1704989374
58,77,13,ACCEPTED,1706237123
59,110,16,DELIVERING,1704788715
60,168,37,PLACED,1706176245
61,183,36,ACCEPTED,1705650435
62,135,32,DELIVERED,1705599144
63,193,12,DELIVERING,1704417034
64,197,14,DELIVERED,1704355302
65,19,17,DELIVERED,1705049293
66,41,37,ACCEPTED,1705513034
67,86,43,PLACED,1704505569
68,137,6,ACCEPTED,1704286592
69,171,45,ACCEPTED,1706532479
70,158,47,ACCEPTED,1706352629
71,98,4,DELIVERING,1704784195
72,41,42,DELIVERING,1705715266
73,177,47,DELIVERING,1704625441
74,115,46,DELIVERING,1706317332
75,50,5,DELIVERING,1704542851
76,35,30,DELIVERING,1706293401
77,113,47,DELIVERING,1704351626
78,132,40,DELIVERED,1704574043
79,85,26,ACCEPTED,1704450727
80,77,46,ACCEPTED,1705346731
81,9,42,PLACED,1706643547
82,162,20,CANCELLED,1704535755
83,140,22,DELIVERING,1704858013
84,164,5,DELIVERING,1704909667
85,161,15,DELIVERING,1705200816
86,147,49,DELIVERED,1706375593
87,143,27,PLACED,1705527152
88,10,50,CANCELLED,1706285197
89,169,29,PLACED,1706462773
90,174,12,PLACED,1706104934
91,181,42,CANCELLED,1706648841
92,174,2,DELIVERED,1704661491
93,111,27,DELIVERING,1704669721
94,63,5,PLACED,1706461584
95,164,44,ACCEPTED,1706480276
96,17,40,PLACED,1706170060
97,197,6,ACCEPTED,1704296449
98,101,39,DELIVERED,1705095176
99,147,48,PLACED,1705303099
100,149,23,PLACED,1704180654
101,71,44,CANCELLED,1705896510
102,97,39,DELIVERING,1704120404
103,135,39,PLACED,1705399396
104,167,23,PLACED,1704171508
105,42,42,PLACED,1705970692
106,64,13,DELIVERED,1704933877
107,111,37,PLACED,1706460839
108,137,18,DELIVERED,1705421209
109,38,50,PLACED,1704344920
110,89,44,PLACED,1704651050
111,20,43,ACCEPTED,1705913657
112,90,10,ACCEPTED,1706603217
113,9,47,DELIVERING,1705939694
114,99,16,ACCEPTED,1705524891
115,185,14,PLACED,1705711807
116,92,10,DELIVERING,1706104383
117,63,29,DELIVERING,1706407613
118,108,27,DELIVERED,1704336358
119,27,25,CANCELLED,1705449083
120,195,30,CANCELLED,1706181582
121,37,31,ACCEPTED,1704616032
122,195,10,DELIVERING,1704268229
123,145,41,ACCEPTED,1706326624
124,138,32,DELIVERING,1705235621
125,123,32,ACCEPTED,1705288245
126,114,35,DELIVERING,1705816885
127,110,23,ACCEPTED,1705783917
128,46,21,ACCEPTED,1705828629
129,46,27,ACCEPTED,1704298396
130,108,20,DELIVERED,1704269311
131,152,27,DELIVERING,1705574443
132,10,31,DELIVERING,1704858818
133,102,27,PLACED,1705297479
134,103,46,DELIVERING,1706230155
135,3,5,PLACED,1705344210
136,90,33,DELIVERING,1706171833
137,144,38,ACCEPTED,1705634700
138,72,19,DELIVERING,1706034634
139,50,39,DELIVERING,1704563120
140,132,23,DELIVERING,1704249097
141,11,9,CANCELLED,1705386365
142,160,4,DELIVERED,1704724620
143,128,34,CANCELLED,1706524121
144,126,41,DELIVERING,1704504333
145,76,5,CANCELLED,1704515597
146,193,42,PLACED,1705242277
147,99,44,DELIVERED,1706556768
148,44,47,DELIVERED,1706598327
