restaurant_id,name,city,rating
1,Restaurant 1,Atlanta,3.5
2,Restaurant 2,Chicago,4.3
3,Restaurant 3,Seattle,4.8
4,Restaurant 4,Atlanta,4.0
5,Restaurant 5,Nashville,3.1
6,Restaurant 6,Atlanta,3.8
7,Restaurant 7,Seattle,3.6
8,Restaurant 8,Seattle,4.6
9,Restaurant 9,Atlanta,3.4
10,Restaurant 10,Seattle,3.8
11,Restaurant 11,Nashville,4.5
12,Restaurant 12,Denver,4.1
13,Restaurant 13,Seattle,3.5
14,Restaurant 14,Atlanta,4.7
15,Restaurant 15,Denver,3.6
16,Restaurant 16,Atlanta,4.3
17,Restaurant 17,Denver,3.6
18,Restaurant 18,Atlanta,4.6
19,Restaurant 19,Denver,4.5
20,Restaurant 20,Seattle,4.9
21,Restaurant 21,Denver,4.6
22,Restaurant 22,Chicago,3.6
23,Restaurant 23,Seattle,3.0
24,Restaurant 24,Seattle,4.4
25,Restaurant 25,Seattle,3.9
26,Restaurant 26,Denver,4.8
27,Restaurant 27,Nashville,4.9
28,Restaurant 28,Atlanta,4.0
29,Restaurant 29,Atlanta,3.4
30,Restaurant 30,Chicago,4.3
31,Restaurant 31,Atlanta,3.1
32,Restaurant 32,Nashville,3.5
33,Restaurant 33,Chicago,3.0
34,Restaurant 34,Seattle,4.2
35,Restaurant 35,Atlanta,3.8
36,Restaurant 36,Atlanta,4.6
37,Restaurant 37,Seattle,3.8
38,Restaurant 38,Seattle,4.5
39,Restaurant 39,Seattle,4.8
40,Restaurant 40,Seattle,3.3
41,Restaurant 41,Nashville,3.2
42,Restaurant 42,Seattle,3.6
43,Restaurant 43,Chicago,4.7
44,Restaurant 44,Seattle,3.2
45,Restaurant 45,Atlanta,4.3
46,Restaurant 46,Denver,5.0
47,Restaurant 47,Atlanta,3.7
48,Restaurant 48,Chicago,5.0
49,Restaurant 49,Denver,4.2
50,Restaurant 50,Denver,3.0
